no,file,question,source,url,what_to_verify,status(未確認/一致/不一致),checked_by,checked_on
201,201_inbound_supermarkets.md,Q. What do people get wrong about Japanese supermarkets?,Japan Supermarket Association — Supermarket census (スーパーマーケット年次統計調査),https://www.super.or.jp/,Store counts with the Japan Supermarket Association and Japan Franchise Association; bag-charge date with the Ministry of the Environment.,,,
201,201_inbound_supermarkets.md,Q. What do people get wrong about Japanese supermarkets?,Ministry of the Environment — Plastic bag charge (レジ袋有料化) from 1 July 2020,https://plastics-smart.env.go.jp/rejibukuro-charge/,Store counts with the Japan Supermarket Association and Japan Franchise Association; bag-charge date with the Ministry of the Environment.,,,
201,201_inbound_supermarkets.md,Q. What do people get wrong about Japanese supermarkets?,National Tax Agency — Tax-inclusive price display,https://www.nta.go.jp/english/taxes/consumption_tax/,Store counts with the Japan Supermarket Association and Japan Franchise Association; bag-charge date with the Ministry of the Environment.,,,
202,202_inbound_department-stores-and-depachika.md,Q. What do people get wrong about department stores and depachika?,Japan Department Stores Association — Sales statistics and duty-free sales reports,https://www.depart.or.jp/,Sales figures with the Japan Department Stores Association's monthly and annual reports; the tax-free rules change on 1 November 2026 (see the tax-free article).,,,
202,202_inbound_department-stores-and-depachika.md,Q. What do people get wrong about department stores and depachika?,Japan Tourism Agency — Consumption trends of international visitors,https://www.mlit.go.jp/kankocho/en/,Sales figures with the Japan Department Stores Association's monthly and annual reports; the tax-free rules change on 1 November 2026 (see the tax-free article).,,,
202,202_inbound_department-stores-and-depachika.md,Q. What do people get wrong about department stores and depachika?,National Tax Agency — Tax-free shopping for visitors,https://www.nta.go.jp/taxes/shiraberu/taxanswer/shohi/6551.htm,Sales figures with the Japan Department Stores Association's monthly and annual reports; the tax-free rules change on 1 November 2026 (see the tax-free article).,,,
203,203_inbound_home-centres.md,Q. What do people get wrong about Japanese home centres (DIY stores)?,Japan DIY Home Centre Association — Industry statistics (日本DIY・ホームセンター協会),https://www.diy.or.jp/,Store count and sales with the Japan DIY Home Centre Association's annual data.,,,
203,203_inbound_home-centres.md,Q. What do people get wrong about Japanese home centres (DIY stores)?,"Ministry of Agriculture, Forestry and Fisheries — Plant Protection Station: taking plants and seeds abroad",https://www.maff.go.jp/pps/,Store count and sales with the Japan DIY Home Centre Association's annual data.,,,
203,203_inbound_home-centres.md,Q. What do people get wrong about Japanese home centres (DIY stores)?,Japan Customs — Restrictions on exports for travellers,https://www.customs.go.jp/english/,Store count and sales with the Japan DIY Home Centre Association's annual data.,,,
204,204_inbound_consumption-tax.md,Q. What do people get wrong about consumption tax in Japan?,National Tax Agency — Consumption tax: rates and reduced rate system,https://www.nta.go.jp/english/taxes/consumption_tax/,Rates and dates with the National Tax Agency; accommodation tax rates with each city's official page.,,,
204,204_inbound_consumption-tax.md,Q. What do people get wrong about consumption tax in Japan?,National Tax Agency — Tax-inclusive price display (総額表示),https://www.nta.go.jp/taxes/shiraberu/zeimokubetsu/shohi/kaisei/,Rates and dates with the National Tax Agency; accommodation tax rates with each city's official page.,,,
204,204_inbound_consumption-tax.md,Q. What do people get wrong about consumption tax in Japan?,Kyoto City — Accommodation tax (宿泊税),https://www.city.kyoto.lg.jp/gyozai/,Rates and dates with the National Tax Agency; accommodation tax rates with each city's official page.,,,
205,205_inbound_carry-on-rules.md,Q. What do people get wrong about carry-on rules on Japanese flights and trains?,JR Central — Oversized baggage on the Tokaido Shinkansen (特大荷物スペースつき座席),https://global.jr-central.co.jp/en/info/oversized-baggage/,Airline size/weight limits with JAL and ANA; Shinkansen rule details with JR Central's oversized-baggage page. Airlines change limits.,,,
205,205_inbound_carry-on-rules.md,Q. What do people get wrong about carry-on rules on Japanese flights and trains?,Japan Airlines — Carry-on baggage (domestic),https://www.jal.co.jp/jp/en/dom/baggage/carry-on/,Airline size/weight limits with JAL and ANA; Shinkansen rule details with JR Central's oversized-baggage page. Airlines change limits.,,,
205,205_inbound_carry-on-rules.md,Q. What do people get wrong about carry-on rules on Japanese flights and trains?,All Nippon Airways — Carry-on baggage (domestic),https://www.ana.co.jp/en/jp/guide/boarding-procedures/baggage/domestic/carry-on/,Airline size/weight limits with JAL and ANA; Shinkansen rule details with JR Central's oversized-baggage page. Airlines change limits.,,,
206,206_inbound_face-masks.md,Q. What do people get wrong about face masks in Japan?,"Ministry of Health, Labour and Welfare — Mask wearing (マスクの着用について), change of 13 March 2023",https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kansenshou/mask.html,The 13 March 2023 change with the MHLW mask page; market and survey figures with industry associations and press surveys.,,,
206,206_inbound_face-masks.md,Q. What do people get wrong about face masks in Japan?,Japan Hygiene Products Industry Association — Mask production and market statistics,https://www.jhpia.or.jp/,The 13 March 2023 change with the MHLW mask page; market and survey figures with industry associations and press surveys.,,,
206,206_inbound_face-masks.md,Q. What do people get wrong about face masks in Japan?,Ministry of the Environment — Pollen information and hay fever,https://www.env.go.jp/chemi/anzen/kafun/,The 13 March 2023 change with the MHLW mask page; market and survey figures with industry associations and press surveys.,,,
207,207_inbound_hotel-amenities.md,Q. What do people get wrong about Japanese hotel rooms and amenities?,"Ministry of the Environment — Act on Promotion of Resource Circulation for Plastics (April 2022), hotel amenities",https://plastic-circulation.env.go.jp/,The plastics law provisions with the Ministry of the Environment; room sizes are typical ranges.,,,
207,207_inbound_hotel-amenities.md,Q. What do people get wrong about Japanese hotel rooms and amenities?,Japan Tourism Agency — Accommodation statistics and hotel categories,https://www.mlit.go.jp/kankocho/en/,The plastics law provisions with the Ministry of the Environment; room sizes are typical ranges.,,,
207,207_inbound_hotel-amenities.md,Q. What do people get wrong about Japanese hotel rooms and amenities?,Japan Ryokan and Hotel Association — Guide to staying at a ryokan,https://www.ryokan.or.jp/english/,The plastics law provisions with the Ministry of the Environment; room sizes are typical ranges.,,,
208,208_inbound_reading-a-menu.md,Q. What do people get wrong about reading a Japanese menu?,Japan National Tourism Organization — Dining and menu guidance,https://www.japan.travel/en/guide/dining-etiquette/,Vocabulary is standard; allergen labelling on restaurant menus is voluntary (see the allergy labelling article).,,,
208,208_inbound_reading-a-menu.md,Q. What do people get wrong about reading a Japanese menu?,Consumer Affairs Agency — Allergen labelling (restaurants: voluntary),https://www.caa.go.jp/policies/policy/food_labeling/food_sanitation/allergy/,Vocabulary is standard; allergen labelling on restaurant menus is voluntary (see the allergy labelling article).,,,
208,208_inbound_reading-a-menu.md,Q. What do people get wrong about reading a Japanese menu?,Japan Tourism Agency — Multilingual menu support project,https://www.mlit.go.jp/kankocho/en/,Vocabulary is standard; allergen labelling on restaurant menus is voluntary (see the allergy labelling article).,,,
209,209_inbound_queueing-and-reservations.md,Q. What do people get wrong about queueing and reservations in Japan?,Japan National Tourism Organization — Etiquette and manners,https://www.japan.travel/en/guide/etiquette/,Specific attraction booking systems change yearly; check each official site.,,,
209,209_inbound_queueing-and-reservations.md,Q. What do people get wrong about queueing and reservations in Japan?,Japan Tourism Agency — Measures on no-shows at restaurants (ノーショー対策),https://www.mlit.go.jp/kankocho/,Specific attraction booking systems change yearly; check each official site.,,,
209,209_inbound_queueing-and-reservations.md,Q. What do people get wrong about queueing and reservations in Japan?,Association of Japanese Private Railways — Escalator safety campaign,https://www.mintetsu.or.jp/,Specific attraction booking systems change yearly; check each official site.,,,
210,210_inbound_sizing-differences.md,Q. What do people get wrong about clothing and shoe sizes in Japan?,Japanese Standards Association — JIS S 5037 (shoe sizes) and JIS L 4004/4005 (clothing sizes),https://www.jsa.or.jp/,Conversion tables are approximations; brands vary. JIS references with the Japanese Standards Association.,,,
210,210_inbound_sizing-differences.md,Q. What do people get wrong about clothing and shoe sizes in Japan?,Japan Consumer Affairs Agency — Household goods labelling (sizes and fibre content),https://www.caa.go.jp/policies/policy/representation/household_goods/,Conversion tables are approximations; brands vary. JIS references with the Japanese Standards Association.,,,
210,210_inbound_sizing-differences.md,Q. What do people get wrong about clothing and shoe sizes in Japan?,Japan National Tourism Organization — Shopping guide,https://www.japan.travel/en/guide/shopping/,Conversion tables are approximations; brands vary. JIS references with the Japanese Standards Association.,,,
261,261_inbound_packing-for-winter.md,Q. What do people get wrong about packing for a Japanese winter?,Japan Meteorological Agency — Climatological normals by city (1991–2020),https://www.data.jma.go.jp/stats/etrn/,Temperatures with JMA climatological normals (1991–2020); indoor figures are typical ranges.,,,
261,261_inbound_packing-for-winter.md,Q. What do people get wrong about packing for a Japanese winter?,Sapporo City — Winter walking safety (冬の歩行安全) and slip-prevention guidance,https://www.city.sapporo.jp/,Temperatures with JMA climatological normals (1991–2020); indoor figures are typical ranges.,,,
261,261_inbound_packing-for-winter.md,Q. What do people get wrong about packing for a Japanese winter?,Japan National Tourism Organization — Winter travel and clothing,https://www.japan.travel/en/plan/,Temperatures with JMA climatological normals (1991–2020); indoor figures are typical ranges.,,,
262,262_inbound_packing-for-the-rainy-season.md,Q. What do people get wrong about the rainy season (tsuyu) for travellers?,Japan Meteorological Agency — Rainy season onset and end dates (梅雨入り・梅雨明け),https://www.data.jma.go.jp/cpd/baiu/,Normals and typical rainy-season dates with the Japan Meteorological Agency.,,,
262,262_inbound_packing-for-the-rainy-season.md,Q. What do people get wrong about the rainy season (tsuyu) for travellers?,Japan Meteorological Agency — Climatological normals (Tokyo),https://www.data.jma.go.jp/stats/etrn/,Normals and typical rainy-season dates with the Japan Meteorological Agency.,,,
262,262_inbound_packing-for-the-rainy-season.md,Q. What do people get wrong about the rainy season (tsuyu) for travellers?,Japan National Tourism Organization — Travelling in the rainy season,https://www.japan.travel/en/plan/,Normals and typical rainy-season dates with the Japan Meteorological Agency.,,,
263,263_inbound_public-baths-sento.md,Q. What do people get wrong about sentō (public bathhouses)?,Tokyo Sentō Association (東京都浴場組合) — Bathing etiquette and price notice,https://www.1010.or.jp/,Sentō counts with the Japan Sentō Association and Tokyo Sentō Association; Tokyo prices with the Tokyo Metropolitan Government's annual price notice.,,,
263,263_inbound_public-baths-sento.md,Q. What do people get wrong about sentō (public bathhouses)?,"Ministry of Health, Labour and Welfare — Public Bathhouse Act (公衆浴場法)",https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/seikatsu-eisei/,Sentō counts with the Japan Sentō Association and Tokyo Sentō Association; Tokyo prices with the Tokyo Metropolitan Government's annual price notice.,,,
263,263_inbound_public-baths-sento.md,Q. What do people get wrong about sentō (public bathhouses)?,Japan Sentō Association — Number of bathhouses by year,https://www.sento.or.jp/,Sentō counts with the Japan Sentō Association and Tokyo Sentō Association; Tokyo prices with the Tokyo Metropolitan Government's annual price notice.,,,
264,264_inbound_eating-while-walking.md,Q. What do people get wrong about eating while walking in Japan?,"Kamakura City — Ordinance on public manners (鎌倉市公共の場所におけるマナーの向上に関する条例, 2019)",https://www.city.kamakura.kanagawa.jp/,The Kamakura ordinance date and wording with Kamakura City; Nishiki Market's request with the market association.,,,
264,264_inbound_eating-while-walking.md,Q. What do people get wrong about eating while walking in Japan?,Kyoto City — Tourism manners (Nishiki Market and Gion guidance),https://www.city.kyoto.lg.jp/,The Kamakura ordinance date and wording with Kamakura City; Nishiki Market's request with the market association.,,,
264,264_inbound_eating-while-walking.md,Q. What do people get wrong about eating while walking in Japan?,Japan National Tourism Organization — Etiquette,https://www.japan.travel/en/guide/etiquette/,The Kamakura ordinance date and wording with Kamakura City; Nishiki Market's request with the market association.,,,
265,265_inbound_convenience-store-food.md,Q. What do people get wrong about convenience-store food and onigiri?,Japan Franchise Association — Convenience store statistics (コンビニエンスストア統計),https://www.jfa-fc.or.jp/,Store counts with the Japan Franchise Association; prices are 2025 ranges.,,,
265,265_inbound_convenience-store-food.md,Q. What do people get wrong about convenience-store food and onigiri?,Consumer Affairs Agency — Date labelling: consumption-by vs best-before,https://www.caa.go.jp/policies/policy/food_labeling/food_sanitation/expiration_date/,Store counts with the Japan Franchise Association; prices are 2025 ranges.,,,
265,265_inbound_convenience-store-food.md,Q. What do people get wrong about convenience-store food and onigiri?,"Ministry of Agriculture, Forestry and Fisheries — Food loss reduction at retailers",https://www.maff.go.jp/j/shokusan/recycle/syoku_loss/,Store counts with the Japan Franchise Association; prices are 2025 ranges.,,,
266,266_inbound_instant-noodles.md,Q. What do people get wrong about instant noodles in Japan?,World Instant Noodles Association — Global demand statistics,https://instantnoodles.org/en/noodles/demand/table/,Consumption figures with the World Instant Noodles Association; sodium figures from product labels.,,,
266,266_inbound_instant-noodles.md,Q. What do people get wrong about instant noodles in Japan?,"Ministry of Health, Labour and Welfare — Dietary Reference Intakes 2025 (sodium)",https://www.mhlw.go.jp/stf/newpage_44138.html,Consumption figures with the World Instant Noodles Association; sodium figures from product labels.,,,
266,266_inbound_instant-noodles.md,Q. What do people get wrong about instant noodles in Japan?,Consumer Affairs Agency — Food labelling standards (nutrition labelling),https://www.caa.go.jp/policies/policy/food_labeling/nutrient_declearation/,Consumption figures with the World Instant Noodles Association; sodium figures from product labels.,,,
267,267_inbound_matcha-products.md,Q. What do people get wrong about matcha and matcha products?,"Ministry of Agriculture, Forestry and Fisheries — Tea production statistics (茶をめぐる情勢)",https://www.maff.go.jp/j/seisan/tokusan/cha/ocha.html,Production figures with MAFF tea statistics; shortage reports with producer announcements (2024–25); caffeine figures with the Standard Tables of Food Composition.,,,
267,267_inbound_matcha-products.md,Q. What do people get wrong about matcha and matcha products?,Japan Tea Central Public Interest Incorporated Association — Types of Japanese tea,https://www.nihon-cha.or.jp/,Production figures with MAFF tea statistics; shortage reports with producer announcements (2024–25); caffeine figures with the Standard Tables of Food Composition.,,,
267,267_inbound_matcha-products.md,Q. What do people get wrong about matcha and matcha products?,MEXT — Standard Tables of Food Composition in Japan (caffeine in tea),https://www.mext.go.jp/a_menu/syokuhinseibun/mext_00001.html,Production figures with MAFF tea statistics; shortage reports with producer announcements (2024–25); caffeine figures with the Standard Tables of Food Composition.,,,
268,268_inbound_vegetarian-and-halal-options.md,"Q. What do people get wrong about vegetarian, vegan and halal food in Japan?","Japan Tourism Agency — Guide for vegetarian and vegan visitors (飲食事業者等におけるベジタリアン・ヴィーガン対応ガイド, 2020)",https://www.mlit.go.jp/kankocho/,JTA visitor estimates and restaurant guide with the Japan Tourism Agency; halal certification bodies with the organisations listed.,,,
268,268_inbound_vegetarian-and-halal-options.md,"Q. What do people get wrong about vegetarian, vegan and halal food in Japan?",Japan National Tourism Organization — Dietary restrictions,https://www.japan.travel/en/plan/,JTA visitor estimates and restaurant guide with the Japan Tourism Agency; halal certification bodies with the organisations listed.,,,
268,268_inbound_vegetarian-and-halal-options.md,"Q. What do people get wrong about vegetarian, vegan and halal food in Japan?",Japan Halal Association — Certification standards,https://jhalal.com/,JTA visitor estimates and restaurant guide with the Japan Tourism Agency; halal certification bodies with the organisations listed.,,,
269,269_inbound_postal-services-shipping-home.md,Q. What do people get wrong about posting souvenirs home from Japan?,"Japan Post — International mail: services, rates and prohibited items (English)",https://www.post.japanpost.jp/int/index_en.html,Rates and services with Japan Post's international mail rate finder (they change yearly); prohibited items with both Japan Post and the destination's customs authority.,,,
269,269_inbound_postal-services-shipping-home.md,Q. What do people get wrong about posting souvenirs home from Japan?,Japan Post — International Mail My Page (electronic customs declaration),https://www.post.japanpost.jp/intmypage/,Rates and services with Japan Post's international mail rate finder (they change yearly); prohibited items with both Japan Post and the destination's customs authority.,,,
269,269_inbound_postal-services-shipping-home.md,Q. What do people get wrong about posting souvenirs home from Japan?,Japan Customs — Export procedures for travellers,https://www.customs.go.jp/english/,Rates and services with Japan Post's international mail rate finder (they change yearly); prohibited items with both Japan Post and the destination's customs authority.,,,
270,270_inbound_sales-seasons-and-lucky-bags.md,Q. What do people get wrong about sales seasons and fukubukuro in Japan?,Japan Department Stores Association — New Year sales and fukubukuro press information,https://www.depart.or.jp/,Sale timing varies by retailer; fukubukuro practices with department-store announcements each December.,,,
270,270_inbound_sales-seasons-and-lucky-bags.md,Q. What do people get wrong about sales seasons and fukubukuro in Japan?,National Tax Agency — Tax-free shopping conditions,https://www.nta.go.jp/taxes/shiraberu/taxanswer/shohi/6551.htm,Sale timing varies by retailer; fukubukuro practices with department-store announcements each December.,,,
270,270_inbound_sales-seasons-and-lucky-bags.md,Q. What do people get wrong about sales seasons and fukubukuro in Japan?,Japan National Tourism Organization — Shopping in Japan: seasons and sales,https://www.japan.travel/en/guide/shopping/,Sale timing varies by retailer; fukubukuro practices with department-store announcements each December.,,,
321,321_inbound_japanese-toilets.md,Q. What do people get wrong about Japanese toilets (washlets)?,Cabinet Office — Consumer Confidence Survey: household penetration of durable goods (温水洗浄便座),https://www.esri.cao.go.jp/jp/stat/shouhi/shouhi.html,Household penetration with the Cabinet Office's Consumer Confidence Survey (durable goods); button labels vary by manufacturer.,,,
321,321_inbound_japanese-toilets.md,Q. What do people get wrong about Japanese toilets (washlets)?,Japan Sanitary Equipment Industry Association — Bidet toilet usage guide,https://www.sanitary-net.com/,Household penetration with the Cabinet Office's Consumer Confidence Survey (durable goods); button labels vary by manufacturer.,,,
321,321_inbound_japanese-toilets.md,Q. What do people get wrong about Japanese toilets (washlets)?,Japan National Tourism Organization — Using toilets in Japan,https://www.japan.travel/en/plan/,Household penetration with the Cabinet Office's Consumer Confidence Survey (durable goods); button labels vary by manufacturer.,,,
322,322_inbound_train-etiquette.md,Q. What do people get wrong about train etiquette in Japan?,JR East — Passenger statistics by station and line,https://www.jreast.co.jp/passenger/,Passenger figures with JR East and Tokyo Metro; women-only car hours vary by line.,,,
322,322_inbound_train-etiquette.md,Q. What do people get wrong about train etiquette in Japan?,Tokyo Metro — Manners and women-only cars,https://www.tokyometro.jp/en/,Passenger figures with JR East and Tokyo Metro; women-only car hours vary by line.,,,
322,322_inbound_train-etiquette.md,Q. What do people get wrong about train etiquette in Japan?,Association of Japanese Private Railways — Train manners campaign,https://www.mintetsu.or.jp/,Passenger figures with JR East and Tokyo Metro; women-only car hours vary by line.,,,
323,323_inbound_taxis-in-japan.md,Q. What do people get wrong about taxis in Japan?,"Ministry of Land, Infrastructure, Transport and Tourism — Taxi fares and the 2024 ""Japan-style ride-share"" scheme",https://www.mlit.go.jp/jidosha/,Fare figures with the Tokyo Hire-Taxi Association and MLIT fare notices; ride-share rules with MLIT's 2024 announcements.,,,
323,323_inbound_taxis-in-japan.md,Q. What do people get wrong about taxis in Japan?,Tokyo Hire-Taxi Association — Fares and how to ride,https://www.taxi-tokyo.or.jp/english/,Fare figures with the Tokyo Hire-Taxi Association and MLIT fare notices; ride-share rules with MLIT's 2024 announcements.,,,
323,323_inbound_taxis-in-japan.md,Q. What do people get wrong about taxis in Japan?,Japan National Tourism Organization — Getting around by taxi,https://www.japan.travel/en/plan/getting-around/,Fare figures with the Tokyo Hire-Taxi Association and MLIT fare notices; ride-share rules with MLIT's 2024 announcements.,,,
324,324_inbound_earthquakes-for-visitors.md,Q. What do people get wrong about earthquakes as a visitor to Japan?,Japan Meteorological Agency — Earthquake Early Warning and seismic intensity scale (English),https://www.jma.go.jp/jma/en/Activities/eew.html,Alert thresholds and intensity definitions with the JMA; tsunami guidance with the Cabinet Office; the 1981 standard with MLIT.,,,
324,324_inbound_earthquakes-for-visitors.md,Q. What do people get wrong about earthquakes as a visitor to Japan?,Cabinet Office — Disaster preparedness: what to do in an earthquake and tsunami,https://www.bousai.go.jp/kyoiku/keigen/gensai/index.html,Alert thresholds and intensity definitions with the JMA; tsunami guidance with the Cabinet Office; the 1981 standard with MLIT.,,,
324,324_inbound_earthquakes-for-visitors.md,Q. What do people get wrong about earthquakes as a visitor to Japan?,"Japan Tourism Agency — ""Safety tips"" app for visitors",https://www.mlit.go.jp/kankocho/en/,Alert thresholds and intensity definitions with the JMA; tsunami guidance with the Cabinet Office; the 1981 standard with MLIT.,,,
325,325_inbound_typhoon-season.md,Q. What do people get wrong about typhoon season for travellers?,Japan Meteorological Agency — Typhoon information and statistics (English),https://www.jma.go.jp/jma/en/Activities/typhoon.html,Landfall statistics with the JMA's typhoon database; planned-suspension practice with JR East/West announcements.,,,
325,325_inbound_typhoon-season.md,Q. What do people get wrong about typhoon season for travellers?,JR East — Planned suspension (計画運休) policy and announcements,https://www.jreast.co.jp/e/,Landfall statistics with the JMA's typhoon database; planned-suspension practice with JR East/West announcements.,,,
325,325_inbound_typhoon-season.md,Q. What do people get wrong about typhoon season for travellers?,Cabinet Office — Evacuation information levels (警戒レベル),https://www.bousai.go.jp/oukyu/hinankankoku/,Landfall statistics with the JMA's typhoon database; planned-suspension practice with JR East/West announcements.,,,
326,326_inbound_smoking-rules.md,Q. What do people get wrong about smoking rules in Japan?,"Ministry of Health, Labour and Welfare — Amended Health Promotion Act: measures against passive smoking (2020)",https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000189195.html,The 2020 amendment details with MHLW; ward ordinances with each municipality; smoking rates with the latest National Health and Nutrition Survey.,,,
326,326_inbound_smoking-rules.md,Q. What do people get wrong about smoking rules in Japan?,Tokyo Metropolitan Government — Ordinance to Prevent Passive Smoking,https://www.hokeniryo.metro.tokyo.lg.jp/kensui/kitsuen/,The 2020 amendment details with MHLW; ward ordinances with each municipality; smoking rates with the latest National Health and Nutrition Survey.,,,
326,326_inbound_smoking-rules.md,Q. What do people get wrong about smoking rules in Japan?,"Ministry of Health, Labour and Welfare — National Health and Nutrition Survey (smoking rates)",https://www.mhlw.go.jp/stf/newpage_47433.html,The 2020 amendment details with MHLW; ward ordinances with each municipality; smoking rates with the latest National Health and Nutrition Survey.,,,
327,327_inbound_temple-and-shrine-etiquette.md,Q. What do people get wrong about temple and shrine etiquette?,Agency for Cultural Affairs — Religious Yearbook (宗教年鑑): numbers of shrines and temples,https://www.bunka.go.jp/tokei_hakusho_shuppan/hakusho_nenjihokokusho/shukyo_nenkan/,Site counts with the Agency for Cultural Affairs Religious Yearbook; Gion rules with the local council.,,,
327,327_inbound_temple-and-shrine-etiquette.md,Q. What do people get wrong about temple and shrine etiquette?,Association of Shinto Shrines (Jinja Honchō) — How to visit a shrine (English),https://www.jinjahoncho.or.jp/en/,Site counts with the Agency for Cultural Affairs Religious Yearbook; Gion rules with the local council.,,,
327,327_inbound_temple-and-shrine-etiquette.md,Q. What do people get wrong about temple and shrine etiquette?,Japan National Tourism Organization — Temple and shrine etiquette,https://www.japan.travel/en/guide/temple-shrine-etiquette/,Site counts with the Agency for Cultural Affairs Religious Yearbook; Gion rules with the local council.,,,
328,328_inbound_staying-at-a-ryokan.md,Q. What do people get wrong about staying at a ryokan?,Japan Ryokan and Hotel Association — How to enjoy a ryokan stay (English),https://www.ryokan.or.jp/english/,Price ranges are typical; conventions with the Japan Ryokan and Hotel Association.,,,
328,328_inbound_staying-at-a-ryokan.md,Q. What do people get wrong about staying at a ryokan?,Japan Tourism Agency — Accommodation guidance for visitors,https://www.mlit.go.jp/kankocho/en/,Price ranges are typical; conventions with the Japan Ryokan and Hotel Association.,,,
328,328_inbound_staying-at-a-ryokan.md,Q. What do people get wrong about staying at a ryokan?,Japan National Tourism Organization — Staying at a ryokan,https://www.japan.travel/en/guide/ryokan/,Price ranges are typical; conventions with the Japan Ryokan and Hotel Association.,,,
329,329_inbound_driving-in-japan.md,Q. What do people get wrong about driving in Japan?,"National Police Agency — Driving in Japan with a foreign licence (International Driving Permit, translations)",https://www.npa.go.jp/policies/application/license_renewal/,Licence acceptance with the National Police Agency and JAF; toll rates with NEXCO; fatality figures with the NPA's annual statistics.,,,
329,329_inbound_driving-in-japan.md,Q. What do people get wrong about driving in Japan?,Japan Automobile Federation (JAF) — Licence translations and driving rules for visitors (English),https://english.jaf.or.jp/,Licence acceptance with the National Police Agency and JAF; toll rates with NEXCO; fatality figures with the NPA's annual statistics.,,,
329,329_inbound_driving-in-japan.md,Q. What do people get wrong about driving in Japan?,NEXCO — Expressway tolls and the Japan Expressway Pass,https://www.driveplaza.com/trip/drawari/japan_expressway_pass/,Licence acceptance with the National Police Agency and JAF; toll rates with NEXCO; fatality figures with the NPA's annual statistics.,,,
330,330_inbound_wagashi-and-seasonal-sweets.md,Q. What do people get wrong about wagashi (Japanese sweets)?,Japan Wagashi Association (全国和菓子協会) — Types and seasons of wagashi,https://www.wagashi.or.jp/,Category definitions with the Japan Wagashi Association; seasonal items vary by region and shop.,,,
330,330_inbound_wagashi-and-seasonal-sweets.md,Q. What do people get wrong about wagashi (Japanese sweets)?,Consumer Affairs Agency — Allergen labelling (mandatory and recommended items),https://www.caa.go.jp/policies/policy/food_labeling/food_sanitation/allergy/,Category definitions with the Japan Wagashi Association; seasonal items vary by region and shop.,,,
330,330_inbound_wagashi-and-seasonal-sweets.md,Q. What do people get wrong about wagashi (Japanese sweets)?,Agency for Cultural Affairs — Japanese food culture and annual customs,https://www.bunka.go.jp/english/,Category definitions with the Japan Wagashi Association; seasonal items vary by region and shop.,,,
381,381_inbound_pollen-season-for-visitors.md,Q. What do people get wrong about pollen season as a visitor to Japan?,Ministry of the Environment — Pollen information and hay fever manual (花粉症環境保健マニュアル),https://www.env.go.jp/chemi/anzen/kafun/,Prevalence figures with the Japanese Society of Otorhinolaryngology's nationwide survey; season dates with the Ministry of the Environment's pollen information; the 2023 plan with the Cabinet Office.,,,
381,381_inbound_pollen-season-for-visitors.md,Q. What do people get wrong about pollen season as a visitor to Japan?,"Cabinet Office — Pollen allergy countermeasures (花粉症対策の全体像, 2023)",https://www.kantei.go.jp/jp/singi/kafun/index.html,Prevalence figures with the Japanese Society of Otorhinolaryngology's nationwide survey; season dates with the Ministry of the Environment's pollen information; the 2023 plan with the Cabinet Office.,,,
381,381_inbound_pollen-season-for-visitors.md,Q. What do people get wrong about pollen season as a visitor to Japan?,Japan Weather Association — Pollen forecast (tenki.jp),https://tenki.jp/pollen/,Prevalence figures with the Japanese Society of Otorhinolaryngology's nationwide survey; season dates with the Ministry of the Environment's pollen information; the 2023 plan with the Cabinet Office.,,,
382,382_inbound_toiletries-to-buy-locally.md,Q. What do people get wrong about buying toiletries in Japan?,Japan Association of Chain Drug Stores — Store information for visitors,https://www.jacds.gr.jp/,Product availability is observational; tax-free rules with the National Tax Agency.,,,
382,382_inbound_toiletries-to-buy-locally.md,Q. What do people get wrong about buying toiletries in Japan?,National Tax Agency — Tax-free shopping (consumables),https://www.nta.go.jp/taxes/shiraberu/taxanswer/shohi/6551.htm,Product availability is observational; tax-free rules with the National Tax Agency.,,,
382,382_inbound_toiletries-to-buy-locally.md,Q. What do people get wrong about buying toiletries in Japan?,Japan National Tourism Organization — Practical travel information,https://www.japan.travel/en/plan/,Product availability is observational; tax-free rules with the National Tax Agency.,,,
383,383_inbound_shoes-off-situations.md,Q. What do people get wrong about when to take shoes off in Japan?,Japan National Tourism Organization — Etiquette: removing shoes,https://www.japan.travel/en/guide/etiquette/,These are conventions; temple and castle rules are posted at each site.,,,
383,383_inbound_shoes-off-situations.md,Q. What do people get wrong about when to take shoes off in Japan?,Japan Ryokan and Hotel Association — Manners at a ryokan,https://www.ryokan.or.jp/english/,These are conventions; temple and castle rules are posted at each site.,,,
383,383_inbound_shoes-off-situations.md,Q. What do people get wrong about when to take shoes off in Japan?,"Agency for Cultural Affairs — Visiting cultural properties (temples, castles)",https://www.bunka.go.jp/english/,These are conventions; temple and castle rules are posted at each site.,,,
384,384_inbound_ekiben-station-bento.md,Q. What do people get wrong about ekiben (station bento)?,Japan Railway Ekiben Association (一般社団法人日本鉄道構内営業中央会) — Ekiben information,https://www.ekiben.or.jp/,The 1885 origin is the conventional account; product lists with the Japan Railway Ekiben Association; the end of Tokaido trolley service with JR Central (October 2023).,,,
384,384_inbound_ekiben-station-bento.md,Q. What do people get wrong about ekiben (station bento)?,JR Central — End of on-board sales on the Tokaido Shinkansen (2023),https://global.jr-central.co.jp/en/,The 1885 origin is the conventional account; product lists with the Japan Railway Ekiben Association; the end of Tokaido trolley service with JR Central (October 2023).,,,
