file,claim_to_verify,status,checked_by,checked_on
509_inbound_emergency-numbers-and-police-boxes.md,'Emergency location number on train platforms' — unclear what this refers to; possibly the platform/pillar numbers. Needs clarification or removal.,,,
509_inbound_emergency-numbers-and-police-boxes.md,Exact NPA counts of kōban and chūzaisho (latest White Paper).,,,
510_inbound_knives-and-fragile-souvenirs.md,Scissors with blade under 6 cm allowed in cabin bags on Japanese domestic flights (MLIT list also requires rounded tips) — confirm wording.,,,
510_inbound_knives-and-fragile-souvenirs.md,Current Japan Post EMS rates to US/Europe and whether EMS goods to the US are fully accepted again after the Aug 2025 de minimis suspension.,,,
510_inbound_knives-and-fragile-souvenirs.md,Customs allowances €430 EU / US$800 / A$900 / £390 UK (believed correct).,,,
510_inbound_knives-and-fragile-souvenirs.md,MLIT URL https://www.mlit.go.jp/koku/15_bf_000006.html is the carry-on prohibited-items page.,,,
581_inbound_qr-payment-apps-for-visitors.md,Whether PayPay now offers sign-up for short-term visitors with a foreign card/passport (a 2025–26 tourist onboarding was reported); 'PayPay and JCB have trialled' pairing looks doubtful.,,,
581_inbound_qr-payment-apps-for-visitors.md,WeChat Pay acceptance at PayPay merchants via interoperability (Alipay+ acceptance is established; WeChat Pay needs confirmation).,,,
581_inbound_qr-payment-apps-for-visitors.md,"Foreign Visa cards failing / Mastercard-Amex working for Apple Wallet Suica top-up, and whether Welcome Suica Mobile accepts foreign cards.",,,
581_inbound_qr-payment-apps-for-visitors.md,Seven Bank / Japan Post ATM fee ¥110–220 for foreign cards (believed correct).,,,
582_inbound_highway-and-overnight-buses.md,Latest MLIT highway-bus passenger figure (FY2023/24).,,,
582_inbound_highway-and-overnight-buses.md,"Current fare ranges (Willer/JR Bus 2026) and Tokyo–Kawaguchiko bus fare (¥2,200 as of 2024).",,,
582_inbound_highway-and-overnight-buses.md,JNTO URL https://www.japan.travel/en/guide/highway-buses/ exists.,,,
583_inbound_ferries-and-island-hopping.md,"All fare ranges (short ¥200–2,000; long-distance ¥10,000–25,000 shared / ¥20,000–50,000 private; cars ¥20,000–60,000; bicycles ¥500–2,000) and voyage times (Ocean Tokyu 34 h, Maizuru–Otaru 21 h, Kagoshima–Naha 25 h, Hakodate–Aomori 4 h — Tsugaru Kaikyo Ferry is closer to 3 h 40 min).",,,
583_inbound_ferries-and-island-hopping.md,"'Japan is 14,000 islands... 400 inhabited' (GSI 2023 count 14,125; inhabited ~416 — plausible, not checked).",,,
584_inbound_capsule-hotels-and-manga-cafes.md,'some branches are men-only after midnight — ask' (no known basis; may be confusion with women-only areas).,,,
584_inbound_capsule-hotels-and-manga-cafes.md,"Capsule locker size ~40×40×60 cm; cleaning fee ¥10,000+; love-hotel stay ¥7,000–12,000; capsule ¥3,000–6,000 and hostel dorm ¥3,000–5,000 (likely low for Tokyo 2026).",,,
585_inbound_game-centres-and-capsule-toys.md,"'Japan's 4,000 game centres' (NPA licensed count ~3,900 in 2023) and '300,000-plus capsule-toy machines'.",,,
585_inbound_game-centres-and-capsule-toys.md,"Youth hours 'under-16s out by 18:00, under-18s by 22:00' — matches Tokyo ordinance + 風営法 but varies by prefecture; current play prices at GiGO/Taito.",,,
586_inbound_watching-sumo-and-baseball.md,"2026 sumo seat prices (masu ¥10,000–15,000 pp; chairs ¥3,500–9,000), on-sale timing '4–5 weeks before', ring-entering times (jūryō ~14:15, makuuchi ~15:40), stable-tour prices ¥10,000–15,000, beer ¥800–900.",,,
586_inbound_watching-sumo-and-baseball.md,Whether the Sumo Museum remains free and open on non-tournament days in 2026.,,,
587_inbound_fireworks-festivals-hanabi.md,"Attendance figures (Sumida ~950,000; Nagaoka ~350,000/night; Omagari ~700,000; Tsuchiura ~700,000; Yodogawa ~500,000; Biwa ~350,000) and Naniwa Yodogawa '~20,000 shells' (organiser does not publish a count; likely overstated).",,,
587_inbound_fireworks-festivals-hanabi.md,"Reserved-seat prices (Nagaoka ¥3,000–10,000; Yodogawa ¥4,000–15,000) and yukata rental ¥3,000–6,000 in Asakusa; Tsuchiura date 'early November' (first Saturday of November in recent years).",,,
588_inbound_nightlife-safety-and-touts.md,'US Embassy warnings since 2009' on Roppongi drink spiking; 'Shinjuku Ni-chōme has 300+ bars'; exact location description of Kabukichō kōban 'by Don Quijote'; typical bottakuri bill ranges from police releases.,,,
589_inbound_business-etiquette-meishi.md,"Meishi printing '¥3,000–5,000 in a day' and card-case prices; otherwise the article is editorial synthesis with no checkable date/price claims beyond Cool Biz (May–September, correct).",,,
590_inbound_leaving-japan-departure-checklist.md,"Airport Limousine bus Narita fare ¥3,200 (may have risen to ~¥3,600) and TYO-NRT LCC bus ¥1,300–1,500 (fare revisions 2024–25).",,,
590_inbound_leaving-japan-departure-checklist.md,"Last-train times (N'EX ~20:00–21:00 from Tokyo; Keisei ~22:00–23:00; Keikyū ~00:30; Haruka ~21:00–22:00; Nankai ~23:30), first train ~05:00 reaching Narita ~06:30, Haruka '50 min from Osaka/Tennōji' (Tennōji is ~35 min).",,,
590_inbound_leaving-japan-departure-checklist.md,"PASMO refund 'no fee' (believed correct), Suica ¥220 fee (believed correct), whether the International Tourist Tax increase has been enacted, and the 90-day export window under the Nov 2026 tax-free system.",,,
590_inbound_leaving-japan-departure-checklist.md,"Skyliner ¥2,570 from Ueno and N'EX ¥3,070 from Tokyo (believed correct as of 2025).",,,
