記事番号,棚,ファイル名,確認が必要な記述,検出バッチ,確認結果（OK／要修正）,確認者,確認日
127,health,127_health_winter-dryness.md,暖房中の無加湿室内が20〜30%台まで下がるという「一般的な実測」。出典不明。,jr_021,,,
127,health,127_health_winter-dryness.md,東京の1月の月平均相対湿度「約52%」（気象庁1991〜2020平年値）。気象庁の数値表に到達できず未確認（平年値は51%前後とみられる）。,jr_021,,,
128,health,128_health_daily-steps.md,「10分未満の細切れの活動でも合計で評価する」がガイド2023の現行の考え方であること。,jr_021,,,
128,health,128_health_daily-steps.md,"「2,000歩増やすだけでも健康上の利点がある」とガイド2023が引用しているという記述。ガイド本文での該当記載を未確認。",jr_021,,,
129,health,129_health_home-blood-pressure.md,「診察室と家庭で差がある場合、家庭血圧を優先すると明記」というガイドラインの記載（JSH2025本文で要確認）。,jr_021,,,
129,health,129_health_home-blood-pressure.md,家庭用血圧計がJIS規格や医療機器の認証を受けているという記述（該当規格名・区分の特定）。,jr_021,,,
130,health,130_health_annual-health-check.md,がん検診の費用が「自治体により無料〜数千円」であること、および国保加入者に受診券が届く運用（自治体差あり）。,jr_021,,,
130,health,130_health_annual-health-check.md,血糖・中性脂肪の検査で「10時間以上の絶食」が前提という記述の公的出典。,jr_021,,,
131,trend,131_trend_lunchbox-food-safety.md,「細菌の多くは10℃以下で増殖が遅くなり、−15℃以下で停止」「中心温度75℃で1分以上」「ノロウイルスは85〜90℃で90秒以上」— 厚労省の一般的な記述と整合するが、出典ページ（www1/houdou/0903/h0331-1.html）の原文と一文ずつ突き合わせられていない。,jr_022,,,
131,trend,131_trend_lunchbox-food-safety.md,「細菌は10〜60℃で増え、とくに30〜40℃で急増」の温度帯、および「車内やロッカーの直射日光下は50℃を超える」の数値の一次出典。,jr_022,,,
131,trend,131_trend_lunchbox-food-safety.md,農林水産省「お弁当づくりによる食中毒を予防するために」（maff.go.jp/j/syouan/seisaku/foodpoisoning/obento.html）の存在とURLの正確性。,jr_022,,,
132,trend,132_trend_water-bottle-care.md,「真空断熱構造の水筒は、多くが食洗機非対応」「カビは酸素系漂白剤」「塩素系漂白剤は不可」— メーカー取扱説明書ベースの一般論として妥当だが、公的資料での裏付けは取れていない。,jr_022,,,
132,trend,132_trend_water-bottle-care.md,出典3件目「消費者庁『水筒の内側の傷・はがれに注意』」— 同名の消費者庁公表資料を確認できず。URLも注意喚起の一覧ページで、記事の記述を裏付けるページではない。削除または差し替えを推奨。,jr_022,,,
133,trend,133_trend_reusing-frying-oil.md,「使用回数の目安は2〜4回」— 公的基準はなく、業界・メーカーの案内による。なお業務用の目安として厚生労働省の弁当・そうざいの衛生規範では『酸価2.5超』『発煙点170℃未満』で交換とされており、家庭向けの回数目安とは別基準。,jr_022,,,
133,trend,133_trend_reusing-frying-oil.md,「東京23区では…『燃やすごみ』が一般的」「回収拠点を設ける自治体も増えています」— 各区の案内で個別確認が必要。,jr_022,,,
133,trend,133_trend_reusing-frying-oil.md,出典の農林水産省「食用油の上手な使い方と捨て方」（maff.go.jp/j/syouan/seisaku/）、環境省「廃食用油のリサイクル」（env.go.jp/recycle/）、東京都環境局（kankyo.metro.tokyo.lg.jp/resource/）— いずれも上位ディレクトリのURLで、該当タイトルのページを特定できなかった。,jr_022,,,
134,trend,134_trend_storing-miso.md,「だし入り味噌は開封後の冷蔵が製品表示で求められることが多い」の裏付け（メーカー表示の網羅的確認）。,jr_022,,,
134,trend,134_trend_storing-miso.md,「白味噌は塩分が低く、赤味噌・豆味噌は高い傾向」— 日本食品標準成分表の値（甘みそ約6.1%、淡色辛みそ約12.4%、赤色辛みそ約13.0%、豆みそ約10.9%）では豆みそは赤色辛みそより低く、『豆味噌は高い』は一律には言いにくい。検索枠の都合で成分表の原典確認が未了のため要確認。,jr_022,,,
134,trend,134_trend_storing-miso.md,表面の白い結晶がチロシンであること、褐変がメイラード反応であること — 一般的説明として流通しているが、味噌業界団体の原典との照合が未了。,jr_022,,,
135,trend,135_trend_storing-soy-sauce.md,「未開封の賞味期限は1年半〜2年が多い」— 容器（ペット/瓶/密封ボトル）により異なり、個別確認が必要。,jr_022,,,
135,trend,135_trend_storing-soy-sauce.md,「産膜酵母は害は少ないとされるが風味を損ねる」の公的な裏付け。,jr_022,,,
135,trend,135_trend_storing-soy-sauce.md,「開封後（通常のボトル）は冷蔵で約1か月」— しょうゆ情報センターは『開封後1ヶ月以内に使い切るのが理想』としており本文と整合するが、キッコーマンはペットボトル品について『冷蔵で約2ヵ月』を使用目安としており、メーカーによって目安が異なる点を注記する余地がある。,jr_022,,,
136,trend,136_trend_natto.md,「1日1パック程度が一般的な目安として案内されています」の出典（業界団体・公的機関のどの資料か不明）,jr_023,,,
136,trend,136_trend_natto.md,タレ1袋の食塩相当量約0.5〜0.8g（1パック0.6g前後という民間情報はあるが、公的な範囲値は未確認）,jr_023,,,
136,trend,136_trend_natto.md,冷凍は可、自然解凍または冷蔵解凍で食感がやや変わる（公的な出典を確認できず）,jr_023,,,
136,trend,136_trend_natto.md,納豆の海外持ち込みは「多くの国で可能」「肉エキス入りのタレが制限されることがある」（国別検疫要件を確認できず）,jr_023,,,
137,trend,137_trend_pickles.md,たくあん2切れ（20g）で食塩相当量約0.7g（成分表のたくあん漬は塩押し・干し大根漬で値が異なるため要確認）,jr_023,,,
137,trend,137_trend_pickles.md,ぬか床表面の白い膜は産膜酵母で混ぜ込めば問題ない、という記述の公的出典,jr_023,,,
137,trend,137_trend_pickles.md,浅漬け2〜3%、キムチ2〜3%という塩分の目安（公的な基準値は未確認）,jr_023,,,
138,trend,138_trend_washing-rice.md,令和6年度の1人当たり米消費量53.4kgの確定値（食料需給表の確報表でe-Statの数値を要確認。令和4年度からの上昇は2024年の米需給の影響とみられる）,jr_023,,,
138,trend,138_trend_washing-rice.md,研ぐ回数（指を立てて軽く20回程度、2〜3回）、浸水時間（夏30分・冬1時間）、水は米の1.2倍（重量）という目安の一次出典,jr_023,,,
139,trend,139_trend_brewing-green-tea.md,「沸騰した湯を湯冷ましや別の器に移すごとに約10℃下がる」という温度低下の目安の出典,jr_023,,,
139,trend,139_trend_brewing-green-tea.md,日本茶業中央会「お茶のおいしい淹れ方」の具体的な湯温・茶葉量・抽出時間の一次資料（サイト内の該当ページを未確認）,jr_023,,,
139,trend,139_trend_brewing-green-tea.md,茶の生産量の「全国」値（作物統計は主産県調査のみの年があり、全国値は推計。全国換算で示すか主産県計で示すかの確認が必要）,jr_023,,,
140,trend,140_trend_cold-brew-hygiene.md,麦茶が「でんぷん・糖分を含むため細菌の栄養になる」という説明の公的出典,jr_023,,,
140,trend,140_trend_cold-brew-hygiene.md,麦茶は冷蔵1〜2日、水出し緑茶は1日、紅茶・ルイボスは1〜2日という日数の公的出典（東京都FAQは日数を明示していない）,jr_023,,,
151,wisdom,151_wisdom_the-kotatsu.md,Kotatsu running cost “roughly ¥15–50 per day” — no public source states this range; it is a derived estimate whose duty-cycle assumption is not given.,jr_024,,,
151,wisdom,151_wisdom_the-kotatsu.md,MLIT source URL https://www.mlit.go.jp/jutakukentiku/house/jutakukentiku_house_tk4_000103.html — could not confirm it is the page carrying the insulation-stock figures.,jr_024,,,
151,wisdom,151_wisdom_the-kotatsu.md,"“Sales remain steady, and compact one-person kotatsu … are a growth segment” — no shipment or sales statistics found.",jr_024,,,
151,wisdom,151_wisdom_the-kotatsu.md,"“Sleeping under it is the main cause of kotatsu-related harm” — NITE documents fire and low-temperature burn cases, but no breakdown was found ranking sleeping as the leading cause.",jr_024,,,
152,wisdom,152_wisdom_hot-water-bottles.md,"“A 2 L yutampo … uses roughly 0.2 kWh, or about ¥6” — arithmetic is consistent (2 L from ~20°C to boiling ≈ 0.19 kWh; × 31 yen/kWh ≈ ¥6), but no published source states it.",jr_024,,,
152,wisdom,152_wisdom_hot-water-bottles.md,"“The surface still sits at 40–50°C for hours” through a cover — plausible and consistent with advisories, but no measurement source found.",jr_024,,,
153,wisdom,153_wisdom_the-year-end-clean.md,"“Cold, dry December air means less pollen and fewer insects … rain is rare in eastern Japan” — broadly true of the Pacific-side winter but not sourced; note freezing water is a practical problem for outdoor window cleaning.",jr_024,,,
153,wisdom,153_wisdom_the-year-end-clean.md,“Municipal waste collection pauses … typically 31 December to 3 January” and “final collections before the 28th–30th” — varies by municipality; no national figure exists.,jr_024,,,
154,wisdom,154_wisdom_baking-soda-and-citric-acid.md,Tokyo Metropolitan Bureau of Public Health source URL https://www.hokeniryo.metro.tokyo.lg.jp/anzen/ensokei/ — could not confirm this path exists or covers chlorine-based cleaners.,jr_024,,,
154,wisdom,154_wisdom_baking-soda-and-citric-acid.md,"“Citric acid … corrodes marble, some natural stone, iron and aluminium” and “baking soda scratches acrylic, lacquer and some coated pans” — standard manufacturer advice, no authoritative source checked.",jr_024,,,
155,wisdom,155_wisdom_the-emergency-bag.md,Cabinet Office source URL https://www.bousai.go.jp/kyoiku/keigen/gensai/index.html — could not confirm it carries the emergency-bag and stockpile checklists.,jr_024,,,
155,wisdom,155_wisdom_the-emergency-bag.md,"Tokyo Bōsai URL https://www.bousai.metro.tokyo.lg.jp/1002147/index.html — not confirmed; note the guide was fully revised in 2023, so the edition year should be stated.",jr_024,,,
155,wisdom,155_wisdom_the-emergency-bag.md,"“Walk 2 km” test and “check it twice a year” — the 1 September / 1 March dates match 防災用品点検の日 (also 1 June and 1 December), but the 2 km figure is not from a public source.",jr_024,,,
155,wisdom,155_wisdom_the-emergency-bag.md,"“¥10 coins for payphones” — still sound advice (analogue payphones need coins, returned after the call), but digital payphones dial free once disaster free-calling is declared.",jr_024,,,
156,wisdom,156_wisdom_water-storage.md,"After the 2011 Great East Japan Earthquake, water supply outages lasted more than a week in many affected municipalities. Direction is right (2.3m households cut off; restoration took weeks to months in coastal Tohoku) but the specific 'more than a week in many municipalities' wording was not matched to a primary source.",jr_025,,,
156,wisdom,156_wisdom_water-storage.md,Cabinet Office URL https://www.bousai.go.jp/kyoiku/keigen/gensai/index.html — could not confirm this specific path carries the 3 L / 3-7 day stockpiling guidance (the 3 L per person per day figure itself is confirmed).,jr_025,,,
156,wisdom,156_wisdom_water-storage.md,"Long-term storage water (5-10-year) is simply thicker-walled bottles. Thicker walls are part of it, but long-life products also differ in sterilisation and filling; could not confirm the 'simply' framing from a maker or industry body.",jr_025,,,
156,wisdom,156_wisdom_water-storage.md,One bathtub is about 200 L. Typical Japanese tubs run roughly 180-200 L at full; not confirmed against a manufacturer or utility figure.,jr_025,,,
157,wisdom,157_wisdom_rolling-stock.md,'The same shelf covered households during the 2020 supply disruptions and typhoon-related shop closures' — plausible but no survey or official source located.,jr_025,,,
157,wisdom,157_wisdom_rolling-stock.md,Consumer Affairs Agency URL https://www.caa.go.jp/policies/policy/food_labeling/food_sanitation/expiration_date/ — path not confirmed; CAA has reorganised its food-labelling pages.,jr_025,,,
157,wisdom,157_wisdom_rolling-stock.md,Table quantities '21 meals' worth of staple (2 kg rice + packets)' and 'about 21 items of main dishes' attributed to the MAFF guide. The 2 kg rice per person per week figure checks out; the 21-meal / 21-item breakdown was not matched line-for-line to the guide.,jr_025,,,
158,wisdom,158_wisdom_ventilation-habits.md,"'Run the bathroom fan during and for 1-2 hours after bathing, door closed', attributed to Tokyo Metropolitan Government mould guidance. Not located. Also note the bureau's current name is the Bureau of Public Health and Medical Care (保健医療局), reorganised in 2023.",jr_025,,,
158,wisdom,158_wisdom_ventilation-habits.md,MHLW URL https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00094.html — a COVID-era page; much of that material was reorganised or archived after COVID-19 moved to Class 5 in May 2023. Live status not confirmed. The 2020 notice itself is at /content/10900000/000640920.pdf.,jr_025,,,
158,wisdom,158_wisdom_ventilation-habits.md,"Target humidity 40-60% with mould accelerating above 70%, cited to 'various public health guidance'. Note that the Building Sanitation Act standard for managed buildings is 40-70%; the 40-60% home target needs a named source.",jr_025,,,
159,wisdom,159_wisdom_summer-heat-habits.md,"'A stroller seat sits close to the hot pavement, often several degrees hotter than at adult head height' — widely repeated; the specific temperature differential was not matched to a study or ministry source.",jr_025,,,
159,wisdom,159_wisdom_summer-heat-habits.md,'Drink about 1.2 L a day beyond meals' and 'add salt at 0.1-0.2% when sweating heavily' — consistent with MHLW/Ministry of the Environment heat-illness material but not verified against the current edition of the 熱中症環境保健マニュアル.,jr_025,,,
159,wisdom,159_wisdom_summer-heat-habits.md,FDMA source URL https://www.fdma.go.jp/disaster/heatstroke/post3.html — path not confirmed; it should point to the current annual heatstroke transport statistics page carrying the 2025 report.,jr_025,,,
159,wisdom,159_wisdom_summer-heat-habits.md,"Heat-Stroke Alert at WBGT 33 and Special Alert at 35 since 2024 — confirmed in substance (Special Alert operation began 24 April 2024 under the revised Climate Change Adaptation Act). Not flagged as a finding, but note the same 2024 reform created municipal cooling shelters (指定暑熱避難施設), which the article does not mention and readers would find useful.",jr_025,,,
160,wisdom,160_wisdom_gift-giving-customs.md,'tsumaranai mono desu ga is old-fashioned; kokoro bakari desu ga is current' — a usage judgement with no cited source.,jr_025,,,
160,wisdom,160_wisdom_gift-giving-customs.md,"All monetary ranges in the calendar table (ochūgen/oseibo ¥3,000-5,000, kōden ¥5,000-10,000, temiyage ¥1,000-3,000, okaeshi at half) are etiquette-survey conventions rather than published official figures. Wedding goshugi ¥30,000 for a friend and ¥50,000-100,000 for relatives matches 2025 bridal-industry surveys.",jr_025,,,
160,wisdom,160_wisdom_gift-giving-customs.md,"Internal wording: the table gives temiyage as ¥1,000-3,000 while Misunderstanding 1 gives ¥1,000-2,000 for a first visit. Not strictly contradictory but worth aligning.",jr_025,,,
160,wisdom,160_wisdom_gift-giving-customs.md,JNTO etiquette URL https://www.japan.travel/en/guide/etiquette/ — path not confirmed.,jr_025,,,
161,beauty,161_beauty_sheet-masks.md,「乾き始めたシートは肌から水分を奪う」という記述。広く言われるが、定量的な一次文献は確認できなかった。,jr_026,,,
161,beauty,161_beauty_sheet-masks.md,シートマスクの使用時間「多くは5〜15分」／頻度「毎日用と週1〜2回用」は製品表示に基づく目安で、公的・学術的な裏づけは見つからなかった。,jr_026,,,
161,beauty,161_beauty_sheet-masks.md,出典PDFのURL（mhlw.go.jp/file/06-.../kesyouhin_hanni_20111.pdf）の実在を確認できず。通知の号数も「薬食発0721第1号」と、法令DB表記の「平成23年7月21日 薬食発第721001号」の2通りが流通している。本文確認は https://www.mhlw.go.jp/web/t_doc?dataId=00tb7518&dataType=1&pageNo= で可能。,jr_026,,,
162,beauty,162_beauty_exfoliation.md,出典の日本皮膚科学会「皮膚科Q&A」（https://www.dermatol.or.jp/qa/）に、角層の厚さ・ターンオーバー周期・角質ケアの頻度に対応する項目があるかは未確認。,jr_026,,,
162,beauty,162_beauty_exfoliation.md,表の頻度目安（スクラブ週1〜2回、AHA・BHA週1〜2回から、酵素洗顔週1〜2回）は製品表示ベースで、公的な根拠は確認できなかった。,jr_026,,,
162,beauty,162_beauty_exfoliation.md,角層の厚さ「約0.02mm」、ターンオーバー「おおむね28日前後」。化粧品会社・皮膚科クリニックの解説では一般的だが、日本皮膚科学会など学術団体の一次資料では確認できず。年齢で2倍以上変わるとの指摘もあり、28日は若年層の目安。,jr_026,,,
163,beauty,163_beauty_foundation-spf.md,「ファンデーションの一般的な使用量 0.2〜0.5g程度（測定量の4分の1〜半分）」の出典を特定できなかった。,jr_026,,,
163,beauty,163_beauty_foundation-spf.md,「防御力は塗布量に対して指数的に変化する」。一般に指摘される関係だが、一次文献を確認できなかった。,jr_026,,,
163,beauty,163_beauty_foundation-spf.md,「顔全体に必要な量 約0.8g（500円硬貨大〜パール2個分）」。0.8g・500円玉大は一般に流通する換算だが、環境省マニュアルの記載は「クリーム状タイプはパール粒1個分、液状タイプは1円硬貨大を2度塗り」で、表現が一致しない。,jr_026,,,
163,beauty,163_beauty_foundation-spf.md,塗り直しの目安「2〜3時間おき」。環境省マニュアルの記載と整合するとされるが、2020年版の該当ページを直接確認できなかった。,jr_026,,,
164,beauty,164_beauty_cleaning-makeup-brushes.md,「湿ったスポンジを密閉ポーチに入れるとカビが生える」「汚れた道具が肌荒れの原因になる」。生活知として広く言われるが、一次資料での裏づけは取れなかった。,jr_026,,,
164,beauty,164_beauty_cleaning-makeup-brushes.md,出典の日本化粧品工業会「化粧品の正しい使い方」（https://www.jcia.org/user/public/）のページ名・実在を確認できなかった。,jr_026,,,
164,beauty,164_beauty_cleaning-makeup-brushes.md,洗う頻度（スポンジ毎回〜2、3回ごと／筆週1回）と買い替え目安（スポンジ1〜3か月）はメーカー案内ベースの目安で、公的根拠は確認できなかった。,jr_026,,,
165,beauty,165_beauty_using-a-hair-dryer.md,「濡れたまま寝ると摩擦による切れ毛・枕の湿気による頭皮環境の悪化」「濡れた髪はキューティクルが開く」。一次文献での裏づけは取れなかった。,jr_026,,,
165,beauty,165_beauty_using-a-hair-dryer.md,吹き出し口の温度「多くの製品で100〜120℃前後」。メーカー・美容系解説では一般的な数値だが、公的な一次資料は確認できなかった（140℃前後の製品もあるとの記載あり）。,jr_026,,,
165,beauty,165_beauty_using-a-hair-dryer.md,経済産業省「電気用品安全法（PSE）」のURL（meti.go.jp/policy/consumer/seian/denan/）の現行有効性、およびヘアドライヤーが電気用品（特定電気用品以外）に該当することの条文上の確認ができなかった。,jr_026,,,
166,beauty,166_beauty_hair-oil.md,「タオルドライ後の濡れた髪こそ主な使いどころ」「ドライヤーの熱と摩擦から表面を守る」— 一次情報（公的機関・学会）での裏づけは取れず、メーカー・美容系情報が中心。,jr_027,,,
166,beauty,166_beauty_hair-oil.md,量の目安（ショート1〜2滴／ミディアム2〜3滴／ロング3〜4滴、1プッシュ換算）に公的・業界の典拠が見当たらない。製品表示に従う旨の注記はあるが、表の数値自体の出所は未確認。,jr_027,,,
167,beauty,167_beauty_bath-additives.md,乳白色（にごり）タイプが大理石・木・ホーローの浴槽を変色させうる、という記述の典拠。,jr_027,,,
167,beauty,167_beauty_bath-additives.md,炭酸ガス系入浴剤は「溶けてから炭酸ガスが抜けるまで（約2時間）」— 日本浴用剤工業会・花王等の業界情報では約2時間持続とされるが、go.jp等の一次情報では未確認。,jr_027,,,
167,beauty,167_beauty_bath-additives.md,追い焚き・循環式風呂釜で硫黄成分・塩分・にごり成分入りが使えないことがある、という記述の典拠（製品表示に依存）。,jr_027,,,
168,beauty,168_beauty_body-wash-vs-soap.md,「健康な皮膚は数時間で（弱酸性に）戻る」— 業界・クリニック情報では「短時間で戻る」とされるが、「数時間」という具体的な時間の学術的典拠は未確認。,jr_027,,,
168,beauty,168_beauty_body-wash-vs-soap.md,「洗う時間と同じくらいの時間をすすぎに」という目安の出所。,jr_027,,,
168,beauty,168_beauty_body-wash-vs-soap.md,誤解4「腕や脚など皮脂の少ない部分はお湯だけの日があってよい、という考え方が皮膚科の資料で示されています」— 日本皮膚科学会等の該当資料を特定できなかった。,jr_027,,,
169,beauty,169_beauty_nail-care-and-removers.md,「コットンに含ませて数十秒置くほうがこするより早く負担も少ない」「アセトンフリーは乾燥は少ないが落ちにくい」という記述の典拠。,jr_027,,,
169,beauty,169_beauty_nail-care-and-removers.md,爪の伸びる速さ「1日約0.1mm／生え替わりに約半年」は複数の皮膚科・専門情報と一致するが、学会等の一次情報では未確認（一般に手の爪で1日0.08〜0.12mm、全体の生え替わりに4〜6か月）。,jr_027,,,
169,beauty,169_beauty_nail-care-and-removers.md,爪の白い斑点（点状白斑）の主因が「爪の根元への軽い衝撃」であるという記述の典拠。,jr_027,,,
170,beauty,170_beauty_oily-skin-care.md,「インナードライ」は医学用語ではなく、公的・学術的な定義は確認できない（記事は「と呼ばれる状態が語られます」と留保しており表現上は可）。,jr_027,,,
170,beauty,170_beauty_oily-skin-care.md,「気温が上がると皮脂分泌が増える」という季節差の記述の典拠。,jr_027,,,
170,beauty,170_beauty_oily-skin-care.md,洗顔のぬるま湯「32〜34℃程度」— クリニック・美容系情報では32〜34度が広く案内されるが、学会・公的機関の典拠は未確認。,jr_027,,,
171,fashion,171_fashion_silk-care.md,QTEC「繊維の基礎知識」という個別ページの存在とURL（トップページのみ記載）。絹の家庭洗濯の水温30℃以下という数値の一次出典。,jr_028,,,
171,fashion,171_fashion_silk-care.md,「水シミ」「摩擦による白化（フィブリル化）は戻らない」の公的資料での裏付け。全国クリーニング生活衛生同業組合連合会「衣類のお手入れ」という個別ページの存在。,jr_028,,,
172,fashion,172_fashion_storing-shoes.md,「1日履いたら1日休ませる」「靴箱は閉め切ると湿度70%超」の一次出典。日本皮革産業連合会「革製品のお手入れ」という個別ページの存在（トップページのみ記載）。,jr_028,,,
173,fashion,173_fashion_hat-care.md,素材別表の「麦わら・フェルト・革は洗えない」「ツバの芯が洗濯機で変形する」の一次出典（メーカー・団体資料での確認が必要）。,jr_028,,,
174,fashion,174_fashion_shrunken-knitwear.md,「30℃程度のぬるま湯＋ヘアコンディショナー30分で緩和収縮が戻る」手順の効果・安全性を示す団体資料。QTEC「毛製品の収縮」・全ク連「クリーニングQ&A」という個別ページの存在（いずれもトップページ記載）。,jr_028,,,
175,fashion,175_fashion_when-to-replace-socks-and-underwear.md,靴下・肌着・パンツの「半年〜1年」という買い替え目安の一次出典。「かかとが薄い靴下は靴の内側も傷める」「ゴムの緩んだ肌着は汗を吸わなくなる」の根拠。,jr_028,,,
176,fashion,176_fashion_folding-and-hangers.md,QTEC（日本繊維製品品質技術センター）をトップページのみで出典としており、本文のどの記述に対応するかが特定できない。,jr_029,,,
176,fashion,176_fashion_folding-and-hangers.md,「引き出しの8割以下を目安に」— 収納量の目安の一次資料（メーカー・公的資料）が確認できない。,jr_029,,,
176,fashion,176_fashion_folding-and-hangers.md,「長期の圧縮はダウン・ウール・ニットの復元力を損なう」— 方向性は各社の保管案内と一致するが、公的・学術の一次資料は未確認。,jr_029,,,
177,fashion,177_fashion_umbrella-care.md,「ビニール傘の大量廃棄は環境省の資料でも課題として挙げられています」— 該当する環境省資料を特定できない（ecojin の紹介記事で言及はあるが、課題提起の公式文書としては未確認）。,jr_029,,,
177,fashion,177_fashion_umbrella-care.md,「傘の修理を受け付ける自治体の講習や店舗」— 自治体講習の実在例を確認できていない。,jr_029,,,
177,fashion,177_fashion_umbrella-care.md,「骨と生地がしっかりした傘は、手入れすれば10年使える」— 年数の根拠が確認できない。,jr_029,,,
177,fashion,177_fashion_umbrella-care.md,年間消費量「約1.2〜1.3億本（日本洋傘振興協議会の推計）」— 1.3億本という数値は多数の二次情報で流通しているが、jupa.gr.jp の公表資料本体を確認できていない。下限1.2億本の出所も不明。,jr_029,,,
178,fashion,178_fashion_glasses-care.md,「2〜3年に一度の点検が眼鏡店の一般的な案内」— 業界団体の公式な推奨頻度が確認できない。,jr_029,,,
178,fashion,178_fashion_glasses-care.md,鼻パッド交換が「多くは無料〜数百円」、フレーム調整が「多くは無料」— 店舗により有償の場合があり、価格の一般化の裏付けが取れない。,jr_029,,,
179,fashion,179_fashion_coat-care.md,「コートは1シーズンに1度しかクリーニングに出さない人が多く」— 出所となる調査が確認できない。,jr_029,,,
179,fashion,179_fashion_coat-care.md,「ドライクリーニングは繰り返すと油分が抜け、風合いが落ちます」— 業界・学術の一次資料が未確認。,jr_029,,,
179,fashion,179_fashion_coat-care.md,クリーニング頻度「シーズンに1回、しまう前」— 全ク連等の公式案内としての裏付けが未確認（zenkuren.or.jp のドメイン・団体名自体は正しいことを確認済み）。,jr_029,,,
180,fashion,180_fashion_rainwear-care.md,「すすぎは2回以上、脱水は短く」— 具体的な回数・時間の一次資料が未確認。,jr_029,,,
180,fashion,180_fashion_rainwear-care.md,「粉末洗剤は不可」— 柔軟剤・漂白剤の不可はメーカー案内と一致するが、粉末洗剤を明確に不可とする公式案内は確認できなかった（溶け残りを理由に液体推奨とする案内はある）。,jr_029,,,
181,health,181_health_snoozing.md,「就寝を15〜30分早める」という具体的な時間幅の出典,jr_030,,,
181,health,181_health_snoozing.md,「睡眠ガイド2023」に、起床時刻を一定にする・朝の光を浴びるという記載がある（PDF原文を照合できず。go.jpに到達不可）,jr_030,,,
181,health,181_health_snoozing.md,二度寝を繰り返すと睡眠慣性が長引く、という点の一次文献,jr_030,,,
181,health,181_health_snoozing.md,休日の起床時刻のずれを2時間以内にするという数値が睡眠ガイド2023に明記されているか,jr_030,,,
182,health,182_health_snoring.md,子どものいびきとアデノイド・扁桃肥大、成長や集中力への影響の一次文献,jr_030,,,
182,health,182_health_snoring.md,日本人はやせ型でもSASになりやすい（顎が小さく気道が狭い骨格）という説明の一次文献,jr_030,,,
182,health,182_health_snoring.md,自宅での簡易検査が保険適用で受けられる条件・自己負担の範囲,jr_030,,,
183,health,183_health_oral-rehydration-solutions.md,個別評価型の許可表示文言「軽度から中等度の脱水状態」の正確な引用,jr_030,,,
183,health,183_health_oral-rehydration-solutions.md,出典URL https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000116133.html が現存し「熱中症予防のために」リーフレットを指すか,jr_030,,,
183,health,183_health_oral-rehydration-solutions.md,成分表の100mLあたりの数値（ナトリウム約115mg、糖質約1.8〜2.5g、スポーツドリンクのナトリウム約40〜50mg）——主要製品の表示に基づく概数で、製品横断の裏づけ未確認,jr_030,,,
184,health,184_health_hot-water-sayu.md,e-ヘルスネットに「水分補給」という表題の記事が存在するか,jr_030,,,
184,health,184_health_hot-water-sayu.md,睡眠中に呼気・発汗で失われる水分が「数百mL」であること,jr_030,,,
185,health,185_health_sauna-safety.md,1セットの目安（サウナ6〜12分→水風呂30秒〜1分→休憩5〜10分、2〜3セット）の出典,jr_030,,,
185,health,185_health_sauna-safety.md,サウナ1回で500mL前後の汗が出るという数値,jr_030,,,
185,health,185_health_sauna-safety.md,サウナ室80〜100℃（ドライ）／60〜70℃（高湿度タイプ）、水風呂15〜20℃前後という温度の目安,jr_030,,,
185,health,185_health_sauna-safety.md,日本のサウナ人気が2019年頃から急拡大したという時期の記述,jr_030,,,
185,health,185_health_sauna-safety.md,日本サウナ・スパ協会が「かけ湯で汗を流す」「無理をしない」と案内している原文,jr_030,,,
186,health,186_health_stretching.md,「継続すれば年齢を問わず可動域は改善する」とする研究の特定。,jr_031,,,
186,health,186_health_stretching.md,「運動前の長い静的ストレッチは直後の筋力・瞬発力を一時的に下げる」——検索枠を使い切り一次文献での確認未了。一般に60秒以上の保持で影響が出るとされ、短時間では影響が小さいとの報告もあるため、保持時間の条件を明記すべきか要検討。,jr_031,,,
186,health,186_health_stretching.md,日本スポーツ協会の資料名「スポーツ活動中の熱中症予防・傷害予防」。同協会の刊行物として確認できたのは「スポーツ活動中の熱中症予防ガイドブック」で、掲載URLも団体トップページのため、本文（運動前は動的ウォーミングアップ）を裏づける資料か確認できていない。,jr_031,,,
186,health,186_health_stretching.md,静的ストレッチの保持時間「1か所20〜30秒、2〜3回」の公的な出典。,jr_031,,,
187,health,187_health_radio-calisthenics.md,1928年の放送開始年。かんぽ生命は「1928年（昭和3年）に国民保健体操として制定」「1928年11月1日に東京中央放送局が放送開始」とする一方、放送開始を1929年とする資料もあり、制定年と放送開始年の書き分けを要確認。,jr_031,,,
187,health,187_health_radio-calisthenics.md,「各種調査で成人の2〜3割が『時々〜毎日行う』」——出典となる調査が記事にも示されておらず、特定できていない。,jr_031,,,
187,health,187_health_radio-calisthenics.md,「第二はやや強度が高く、働く世代向け」「正しい動きで行うと翌日に筋肉痛が出る人も多い」の根拠。,jr_031,,,
188,health,188_health_sitting-too-long.md,「2023年の国の指針で初めて『座位行動』への言及が入った」——ガイド2023に座位行動の記載があることは確認できるが、「初めて」かどうかは未確認。,jr_031,,,
188,health,188_health_sitting-too-long.md,「在宅勤務の広がりで座位時間がさらに延びた」とする複数調査の特定。,jr_031,,,
