記事番号,棚,ファイル名,現在の記述,修正案,根拠,出典,検出バッチ,採否,対応日
119,beauty,119_beauty_lip-balm.md,唇は**皮脂腺がなく、角層が薄い**ため、乾燥しやすい部位です。,唇（赤唇部）は**皮脂腺がほとんどなく、角層が薄い**ため、乾燥しやすい部位です。,赤唇部には汗腺がなく皮脂腺もほとんどないが、フォアダイス斑など異所性皮脂腺が存在することがあるため「ない」と断定するのは精度不足。,https://www.dermatol.or.jp/public/,jr_019,,
120,beauty,120_beauty_mask-related-skin-trouble.md,日本皮膚科学会は、マスクによる皮膚トラブルとして**接触皮膚炎・にきびの悪化・口周りの乾燥**などを挙げ、**肌に合った素材の選択と清潔の維持**を案内しています。,皮膚科領域では、マスクによる皮膚トラブルとして**接触皮膚炎・にきびの悪化・口周りの乾燥**などが挙げられ、**肌に合った素材の選択と清潔の維持**が案内されています。,日本皮膚科学会サイト上に「マスクによる肌トラブル」の皮膚科Q&Aは検索で確認できず、学会名での断定的な帰属は裏づけが取れない。該当ページを特定できない場合は主語を一般化するのが安全。,https://www.dermatol.or.jp/public/,jr_019,,
120,beauty,120_beauty_mask-related-skin-trouble.md,- 公益社団法人日本皮膚科学会「皮膚科Q&A　マスクによる肌トラブル」   https://www.dermatol.or.jp/qa/,- 公益社団法人日本皮膚科学会「一般市民の皆様」（皮膚科Q&A）   https://www.dermatol.or.jp/public/,「皮膚科Q&A　マスクによる肌トラブル」という個別ページは確認できない。学会の一般向け情報の入口は /public/。公開前に該当Q&Aの有無を確認し、なければ出典を差し替える。,https://www.dermatol.or.jp/public/,jr_019,,
121,health,121_health_weekend-sleep-catch-up.md,- 「国民健康・栄養調査」では、**1日の平均睡眠時間が6時間未満**の人の割合が、成人の**約4割**で推移しています。,- 「国民健康・栄養調査」（令和6年）では、**1日の睡眠時間を6〜9時間（60歳以上は6〜8時間）確保できている**成人は**56.0%**（男性56.1%・女性55.9%）で、**4割超が確保できていない**状態です。,令和6年調査では指標が「睡眠時間が十分に確保できている者の割合」に整理され56.0%。令和元年の『6時間未満は男性37.5%・女性40.6%』より新しい年次がある。,https://www.mhlw.go.jp/content/10900000/001603146.pdf; https://www.mhlw.go.jp/stf/newpage_66279.html,jr_020,,
121,health,121_health_weekend-sleep-catch-up.md,- OECDの生活時間調査（2021年）で、日本の平均睡眠時間は**7時間22分**、調査対象国の中で**最短**でした。,- OECDの時間利用データ（Gender Data Portal、2021年公表）で、日本の平均睡眠時間は**7時間22分**（442分）、比較対象**33か国中で最短**でした。,OECDの時間利用データで日本は442分＝7時間22分、比較33か国中最下位。対象国数を明示したほうが正確。,https://www.oecd.org/en/data/datasets/oecd-gender-data-portal.html; https://tabizine.jp/article/577386/,jr_020,,
123,health,123_health_eating-order.md,- **健康日本21（第三次）**は、**野菜摂取量の目標を1日350g**、**食塩摂取量の目標を1日7g未満**としています。,- **健康日本21（第三次）**は、**野菜摂取量の目標を1日350g**、**食塩摂取量の目標を1日7g**としています（いずれも令和14年度までの目標値）。,健康日本21（第三次）の目標値は食塩摂取量『7g』（現状値10.1g→目標値7g、令和14年度）。『7g未満』は食事摂取基準の目標量（男性7.5g未満等）との混同を招く。,https://www.nibn.go.jp/eiken/kenkounippon21/kenkounippon21/mokuhyou3rd.html; https://www.maff.go.jp/j/syokuiku/kaigi/attach/pdf/230906-7.pdf,jr_020,,
124,health,124_health_salt-intake.md,| 健康日本21（第三次）の目標 | **7g未満** | 厚生労働省 |,| 健康日本21（第三次）の目標 | **7g**（令和14年度） | 厚生労働省 |,健康日本21（第三次）の目標値は『7g』（令和14年度）。『未満』は付かない。,https://www.nibn.go.jp/eiken/kenkounippon21/kenkounippon21/mokuhyou3rd.html,jr_020,,
124,health,124_health_salt-intake.md,| 梅干し 1個（10g） | 約2.0g |,| 梅干し（塩漬）1個（10g） | 約2.2g（調味漬は約0.8g） |,日本食品標準成分表（八訂）で梅干し・塩漬の食塩相当量は100g当たり22.1g（10gなら約2.2g）。市販に多い調味漬は7.6g/100gで大きく異なるため区別が必要。,https://fooddb.mext.go.jp/details/details.pl?ITEM_NO=7_07022_7; https://fooddb.mext.go.jp/details/details.pl?ITEM_NO=7_07023_7,jr_020,,
126,health,126_health_pollen-season.md,| 外出 | マスク・眼鏡。飛散の多い**昼前後と日没前後**を避ける | 環境省「花粉症環境保健マニュアル」 |,| 外出 | マスク・眼鏡。飛散の多い**昼前後と日没前後**を避ける | 環境省「花粉症環境保健マニュアル2022」 |,根拠列の資料名に版年がなく、2014年版と2022年版のどちらを指すか不明。ピーク時間帯（昼前後・日没前後）の記述自体は2022年版の内容と一致。,https://www.env.go.jp/chemi/anzen/kafun/2022_full.pdf,jr_021,,
126,health,126_health_pollen-season.md,- **2023年5月、政府は「花粉症対策の全体像」**を決定。**スギ人工林の伐採・植替えの加速（10年後に発生源を2割減）**、**飛散予測の精度向上**、**治療法の普及**の3本柱です。,- **2023年5月30日、政府は「花粉症対策の全体像」**を決定。3本柱は**発生源対策**（10年後にスギ人工林を約2割減少、約30年後に半減）、**飛散対策**（飛散予測の精度向上）、**発症・曝露対策**（治療法の普及など）です。,決定日は2023年5月30日。公式の3本柱は「発生源対策」「飛散対策」「発症・曝露対策」で、削減目標はスギ人工林（431万ha）を10年後に約2割減、約30年後に半減。,https://www.rinya.maff.go.jp/j/sin_riyou/kafun/attach/pdf/hasseigen-9.pdf; https://www.rinya.maff.go.jp/j/kikaku/hakusyo/r5hakusyo_h/summary/s_tokusyu.html,jr_021,,
128,health,128_health_daily-steps.md,日本では国の指針が2024年に改定され、歩数の目安が具体的に示されました。,日本では国の指針が2024年1月に改定され（「健康づくりのための身体活動・運動ガイド2023」）、歩数の目安が具体的に示されました。,ガイドの名称は「2023」だが策定・公表は2024年1月。導入の「2024年に改定」とA欄の「現行ガイド（2023年）」が読者には矛盾して見えるため、名称と公表時期を併記して整合させる。,https://www.dietitian.or.jp/trends/2023/337.html; https://sndj-web.jp/news/002615.php,jr_021,,
128,health,128_health_daily-steps.md,「1万歩」は**1965年に発売された歩数計の商品名**に由来するとされ、医学的な閾値として定められたものではありません。,「1万歩」は**1965年に発売された歩数計「万歩メーター」**（「万歩計」は1984年に登録された商標）に由来するとされ、医学的な閾値として定められたものではありません。,山佐時計計器が1965年に発売した第1号機の商品名は「万歩メーター」で、「万歩計」の商標登録は1984年。,https://www.yamasa-tokei.co.jp/top_category/history2.html; https://ja.wikipedia.org/wiki/%E6%AD%A9%E6%95%B0%E8%A8%88,jr_021,,
129,health,129_health_home-blood-pressure.md,診察室では**140/90**が高血圧の基準で、**家庭血圧は5低い値**が使われます。,診察室では**140/90**が高血圧の基準で、**家庭血圧は5低い値**が使われます。なお治療時の降圧目標は、JSH2025で**診察室130/80未満・家庭125/75未満**に統一されました（診断基準は据え置き）。,JSH2025は降圧目標を全年齢で診察室130/80mmHg未満・家庭血圧125/75mmHg未満に統一。診断基準（140/90、家庭135/85）は据え置き。報道で「基準が130/80になった」と誤解されやすいため、区別の明記が望ましい。,https://www.carenet.com/news/general/carenet/61350; https://www.jstage.jst.go.jp/article/numa/84/6/84_257/_pdf/-char/ja,jr_021,,
132,trend,132_trend_water-bottle-care.md,- 東京都保健医療局「金属製の容器での銅中毒に注意（2020年）」   https://www.hokeniryo.metro.tokyo.lg.jp/shokuhin/,- 東京都保健医療局「金属製の水筒に飲み物を入れる際の注意点はありますか？（食品安全FAQ）」   https://www.hokeniryo.metro.tokyo.lg.jp/anzen/anzen/food_faq/chudoku/chudoku29,資料名の「（2020年）」は事例年（平成20年）と一致しない。また食品衛生関連の資料は hokeniryo1.metro.tokyo.lg.jp（食品衛生の窓）配下にあり、記事のURLは該当ページを指していない。,https://www.hokeniryo.metro.tokyo.lg.jp/anzen/anzen/food_faq/chudoku/chudoku29; https://www.hokeniryo1.metro.tokyo.lg.jp/shokuhin/pamphlet2/files/metal.pdf,jr_022,,
134,trend,134_trend_storing-miso.md,- 全国味噌工業協同組合連合会「みその保存方法」   https://www.miso.or.jp/,- みそ健康づくり委員会（全国味噌工業協同組合連合会）「みその保存方法」   https://miso.or.jp/,miso.or.jp は全国味噌工業協同組合連合会が設置した「みそ健康づくり委員会」の運営サイト。連合会自体の公式サイトは zenmi.jp であり、団体名とドメインが一対一で対応していない。,https://miso.or.jp/museum/; http://zenmi.jp/,jr_022,,
135,trend,135_trend_storing-soy-sauce.md,| 開封後（二重構造の密封ボトル） | 常温可とする製品が多い | **約90日**（製品表示） |,| 開封後（二重構造の密封ボトル） | 常温可とする製品が多い | **90日または120日**（製品表示） |,キッコーマン「いつでも新鮮」シリーズは、やわらか密封ボトル（200ml）が開栓後90日、密封ecoボトル（330/450/620ml）が120日を使用目安としている。90日のみとするのは不正確。,https://customer.kikkoman.co.jp/hc/ja/articles/17234206512409; https://customer.kikkoman.co.jp/hc/ja/articles/34767925162265,jr_022,,
135,trend,135_trend_storing-soy-sauce.md,密封ボトルは**空気との接触を抑える**構造で、劣化を遅らせますが止めるわけではありません。**表示の期間（多くは90日）**を目安にします。,密封ボトルは**空気との接触を抑える**構造で、劣化を遅らせますが止めるわけではありません。**表示の期間（製品により90日または120日）**を目安にします。,上記と同じ。容量・容器タイプにより90日と120日があり、「多くは90日」とは言えない。,https://customer.kikkoman.co.jp/hc/ja/articles/17234206512409,jr_022,,
135,trend,135_trend_storing-soy-sauce.md,- しょうゆの**食塩相当量は約14〜16%**（濃口）。減塩しょうゆは**約8%**で、開封後の劣化がより早いとされます。,- しょうゆの**食塩相当量は、日本食品標準成分表でこいくちが約14.5%、うすくちが約16.0%**。減塩しょうゆは**約8%**で、開封後の劣化がより早いとされます。,食品成分データベース（八訂増補2023年）では、こいくちしょうゆ大さじ1（18g）の食塩相当量2.6g＝約14.5%、うすくちしょうゆ2.8g＝約15.6%。16%はうすくちの値で、「濃口が14〜16%」という幅の示し方は正確でない（市販品の表示値は16%前後のものもある）。減塩（こいくち）は約8.3%で本文どおり。,https://fooddb.mext.go.jp/details/details.pl?ITEM_NO=17_17007_7; https://fooddb.mext.go.jp/details/details.pl?ITEM_NO=17_17086_7,jr_022,,
136,trend,136_trend_natto.md,| 賞味期限 | 製造から**1〜2週間程度**（製品による） |,| 賞味期限 | 製造から**1週間程度**（製品により1〜2週間。ひきわりはやや短い） |,納豆メーカー各社の案内では、市販の糸引き納豆の賞味期限は冷蔵で概ね1週間程度。ひきわり納豆は表面積が大きく発酵が進みやすいため短め。「1〜2週間程度」は上限寄りの表現。,https://www.mizkan.co.jp/natto-information/faq/; https://faq.mizkan.co.jp/faq/show/2932?site_domain=default,jr_023,,
137,trend,137_trend_pickles.md,| ぬか漬け | ぬか床の塩分 **10%前後** | 冷蔵または涼しい場所、毎日かき混ぜる |,| ぬか漬け | ぬか床の塩分 **5〜10%程度**（一般には6〜8%前後） | 冷蔵または涼しい場所、毎日かき混ぜる |,家庭のぬか床は塩分6〜8%程度が一般的で、市販レシピでは5%前後の設計も多い。「10%前後」は高めの一例にすぎず、標準的な目安としては精度不足。,http://www.nukaken.jp/pdf/japan4.pdf; https://fungus-media.com/%E3%81%AC%E3%81%8B%E6%BC%AC%E3%81%AE%E5%A1%A9%E5%88%86%E9%87%8F%E3%81%AF%EF%BC%9F%E6%B8%9B%E5%A1%A9%E3%81%AE%E6%96%B9%E6%B3%95/,jr_023,,
138,trend,138_trend_washing-rice.md,- 米の表示は**食品表示法**に基づき、**産地・品種・産年**と**精米年月日（または「精米時期」）**が記載されます。,- 米の表示は**食品表示法**に基づき、**産地・品種・産年**と**「精米時期」**（年月日または年月旬）が記載されます。2022年4月以降、表示事項名は「精米年月日」ではなく**「精米時期」**に統一されています。,食品表示基準の改正で令和2年3月27日から表示事項が「精米年月日」から「精米時期」に変更、経過措置は令和4年3月31日まで。令和4年4月1日以降に精米したものは「精米時期」表示が必須。,https://www.maff.go.jp/j/syouan/keikaku/soukatu/200414.html; https://www.maff.go.jp/j/syouan/keikaku/soukatu/attach/pdf/200414-23.pdf,jr_023,,
138,trend,138_trend_washing-rice.md,米は**低温・低湿で保存**するのが基本です。**冷蔵庫の野菜室に密閉容器で**保存すると、夏場の虫と酸化を防げます。開封後は**1か月程度**で使い切る目安です。,米は**低温・低湿で保存**するのが基本です。**冷蔵庫の野菜室に密閉容器で**保存すると、夏場の虫と酸化を防げます。使い切る目安は**冬場で1か月程度、夏場は2週間程度**とされています。,農林水産省の解説および米穀店・検査機関の案内では、精米の食味保持の目安は冬場約1か月、夏場約2週間。季節差に触れずに「1か月程度」とするのは精度不足。,https://www.maff.go.jp/j/heya/kodomo_sodan/0006/01.html; https://www2.tcoop.or.jp/kensa/cate01/202324.html,jr_023,,
140,trend,140_trend_cold-brew-hygiene.md,- 厚生労働省「家庭でできる食中毒予防の6つのポイント」   https://www.mhlw.go.jp/www1/houdou/0903/h0331-1.html,- 厚生労働省「家庭でできる食中毒予防の6つのポイント」   https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/shokuhin/syokuchu/,現在記載されているのは平成9年（1997年）の報道発表アーカイブのURL。現行の厚生労働省の食中毒ページに差し替えるのが適切（公開前に遷移先を要確認）。,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/AA10K-0000049664.html; https://www.n-shokuei.jp/eisei/sfs_6point.html,jr_023,,
151,wisdom,151_wisdom_the-kotatsu.md,"| Running cost (Tokyo, 31 yen/kWh, 5 h/day) | **roughly ¥15–50 per day** |","| Running cost (Tokyo, 31 yen/kWh, 5 h/day, thermostat cycling) | **roughly ¥15–50 per day** |","At the rated 300–600 W the same 5 h would be ¥46–93 (31 yen/kWh). The ¥15–50 range only holds with thermostat cycling, while the fan-heater row below is computed at full rated draw — the two rows use different bases.",https://enechange.jp/articles/kotatsu-cost; https://looop-denki.com/home/denkinavi/electricitybill/seasonal/kotatsu/,jr_024,,
151,wisdom,151_wisdom_the-kotatsu.md,https://ondankataisaku.env.go.jp/coolchoice/warmbiz/,https://ondankataisaku.env.go.jp/decokatsu/warmbiz/,The Ministry of the Environment's COOL CHOICE campaign was succeeded by 「デコ活」 in 2023; the Warm Biz pages now sit under /decokatsu/warmbiz/. The 20°C room-temperature recommendation itself is unchanged.,https://ondankataisaku.env.go.jp/decokatsu/warmbiz/yw/20170113.html,jr_024,,
152,wisdom,152_wisdom_hot-water-bottles.md,These figures are cited by the Consumer Affairs Agency and NITE in their annual winter warnings.,These figures are cited by the Consumer Affairs Agency and NITE in their winter advisories on hot-water bottles (most recently December 2020).,"The CAA yutampo advisories are dated 2017-12-06 and 2020-12-16; they are issued occasionally, not annually. The 44°C / 46°C / 50°C times themselves check out.",https://www.caa.go.jp/policies/policy/consumer_safety/caution/caution_045/assets/consumer_safety_cms204_20201216_01.pdf; https://www.caa.go.jp/policies/policy/consumer_safety/release/pdf/consumer_safety_release_171206_0001.pdf,jr_024,,
152,wisdom,152_wisdom_hot-water-bottles.md,https://www.caa.go.jp/policies/policy/consumer_safety/caution/,https://www.caa.go.jp/policies/policy/consumer_safety/caution/caution_045/,The generic index does not support the burn-time table. The specific CAA advisory 「ゆたんぽを安全に正しく使用しましょう！」(2020-12-16) lives under caution_045.,https://www.caa.go.jp/policies/policy/consumer_safety/caution/caution_045/assets/consumer_safety_cms204_20201216_01.pdf,jr_024,,
152,wisdom,152_wisdom_hot-water-bottles.md,"Fill temperature: **hot but not boiling** for plastic and rubber types (typically **≤ 70–80°C**, per product)",Fill temperature: **hot but not boiling** for plastic and rubber types (many products specify **about 70°C or below** — follow the figure printed on yours),"Plastic yutampo instructions commonly cap the fill water at about 70°C; quoting “≤ 70–80°C” reads as permitting 80°C, which exceeds several manufacturers' limits and risks deformation or leaks.",https://www.caa.go.jp/policies/policy/consumer_safety/caution/caution_045/assets/consumer_safety_cms204_20201216_01.pdf; https://www.nite.go.jp/jiko/chuikanki/mailmagazin/2011fy/psm_vol160_1227.html,jr_024,,
153,wisdom,153_wisdom_the-year-end-clean.md,"The tradition traces to **susu-harai** (""soot sweeping""), historically held on **13 December** in the Edo period; many temples still do it on that day.","The tradition traces to **susu-harai** (""soot sweeping""), recorded from the Heian period and fixed on **13 December** at Edo Castle in the Edo period; many temples and shrines still do it on that day.","Susu-harai is documented from the Heian period; 13 December became the standard date through Edo Castle practice, which the article compresses into “in the Edo period”.",https://ohakakiwame.jp/column/memorial-service/end-of-year-cleaning.html,jr_024,,
153,wisdom,153_wisdom_the-year-end-clean.md,- Agency for Cultural Affairs — Annual customs (nenchū gyōji)   https://www.bunka.go.jp/english/,- Agency for Cultural Affairs — Annual customs (nenchū gyōji) [replace with the specific page: the English top page carries no nenchū-gyōji content]   https://www.bunka.go.jp/english/,"The URL is the Agency's English top page, not a page about annual customs, so it does not support the susu-harai / 13 December claim it is cited for.",https://www.bunka.go.jp/english/,jr_024,,
154,wisdom,154_wisdom_baking-soda-and-citric-acid.md,The fizz is carbon dioxide from **the two neutralising each other**. What remains is close to salt water.,"The fizz is carbon dioxide from **the two neutralising each other**. What remains is a weak sodium citrate solution — near-neutral, and no longer either an alkali or an acid.","Sodium bicarbonate plus citric acid gives CO2, water and sodium citrate. The residue is not sodium chloride, so “salt water” is chemically wrong even as shorthand.",https://www.kenei-pharm.com/general/learn/life-style/4121/,jr_024,,
154,wisdom,154_wisdom_baking-soda-and-citric-acid.md,"Japanese chlorine products carry the legally required warning **まぜるな危険** (""Danger — do not mix"").","Japanese chlorine products carry the warning **まぜるな危険** (""Danger — do not mix""), required under the Household Goods Quality Labelling Act (雑貨工業品品質表示規程) for products that release 1.0 ppm or more of chlorine gas in the prescribed test.","The labelling duty sits in 家庭用品品質表示法 / 雑貨工業品品質表示規程 (bleaches), triggered at 1.0 ppm chlorine release in the specified test; naming the instrument makes the “legally required” claim checkable.",https://www.caa.go.jp/policies/policy/representation/household_goods/law/law_07/item_003.html; https://www.shouhiseikatu.metro.tokyo.lg.jp/torihiki/hyoji/documents/kahyohandbook3003.pdf,jr_024,,
154,wisdom,154_wisdom_baking-soda-and-citric-acid.md,"Poorly. For a spray, use **warm water (about 1 teaspoon per 100 mL)**; for stubborn grease, sesquicarbonate dissolves better and is more alkaline.","Not readily at room temperature — it dissolves slowly and tops out near 9 g per 100 mL at 20°C. For a spray, use **warm water (about 1 teaspoon per 100 mL)**; for stubborn grease, sesquicarbonate dissolves better and is more alkaline (pH ~9.8 against ~8).",Sodium bicarbonate solubility is about 9.6 g/100 mL at 20°C and dissolves slowly in cold water; sesquicarbonate dissolves readily at room temperature. “Poorly” alone overstates it without the number.,https://www.live-science.com/honkan/partner/hikaku.html; https://kaji.tokyo-gas.co.jp/column/detail_4071,jr_024,,
155,wisdom,155_wisdom_the-emergency-bag.md,| Weight | **Adult: about 10–15 kg maximum**; less for elderly and children | No limit |,"| Weight | **About 10–15% of body weight** (commonly published guide: up to about 15 kg for men, 10 kg for women); less for elderly and children | No limit |","The widely published municipal guide is 男性15kg / 女性10kg, and preparedness research frames the practical ceiling as 10–15% of body weight. A flat “10–15 kg” applied to every adult is too heavy for many of the people the bag is for.",https://www.koka.ac.jp/sociology/news/bousailab/emergency-bag-weight; https://www.town.ishii.lg.jp/docs/2018110500097/,jr_024,,
156,wisdom,156_wisdom_water-storage.md,"Filled tap water keeps its chlorine for about **3 days at room temperature** (Tokyo Waterworks). After that, use it for **hygiene, not drinking**, unless boiled.","Filled tap water keeps its chlorine for about **3 days at room temperature** out of direct sunlight, or about **10 days refrigerated** (Tokyo Waterworks). Fill a clean, lidded container to the brim and do not boil it before storing. After that, use it for **hygiene, not drinking**, unless boiled.",Tokyo Waterworks gives both figures — chlorine holds about 3 days at room temperature away from direct sunlight and about 10 days refrigerated — and specifies filling to the brim from the tap without pre-boiling. The article uses only half the guidance.,https://www.waterworks.metro.tokyo.lg.jp/kurashi/shinsai/sonae/kumioki,jr_025,,
156,wisdom,156_wisdom_water-storage.md,It is for **flushing and washing**. A toilet flush uses **6–13 L** depending on the model; one bathtub (about **200 L**) covers a family for several days of flushing.,It is for **flushing and washing**. A toilet flush uses about **13 L** on pre-2000s models but only **3.8–6 L** on current water-saving ones; one bathtub (about **200 L**) covers a family for several days of flushing.,"Japanese toilets sold up to around 2001 used roughly 13 L per full flush; current water-saving models use 4.8–6 L (some 3.8 L), with small flush 3.5–5 L. The stated 6–13 L range excludes most toilets installed in the last two decades.",https://home.tokyo-gas.co.jp/housing/exchange/restroom/water-saving.html; https://www.y-home.co.jp/news/sessuitoiremiwake/,jr_025,,
157,wisdom,157_wisdom_rolling-stock.md,"""Rolling stock"" (rōringu sutokku) is the Japanese government's name for a simple habit:","""Rolling stock"" (rōringu sutokku) is the term used in Japanese government stockpiling guidance for a simple habit:","ローリングストック is a widely used Japanese consumer term that MAFF and the Cabinet Office adopted in their guidance; it was not coined or trademarked by government. ""The Japanese government's name for"" overstates the origin.",https://www.maff.go.jp/j/zyukyu/foodstock/; https://www.maff.go.jp/j/zyukyu/foodstock/guidebook.html,jr_025,,
158,wisdom,158_wisdom_ventilation-habits.md,| Mechanical (24-hour) ventilation | **Required in all new homes since 2003**; 0.5 air changes per hour | Building Standards Act amendment |,| Mechanical (24-hour) ventilation | **Required in the habitable rooms of all new buildings since 1 July 2003**; 0.5 air changes per hour in homes | Building Standards Act amendment |,"The sick-house amendment to the Building Standards Act took effect on 1 July 2003 and applies to the 居室 of all buildings — homes, schools, offices, hospitals — not homes alone; the 0.5 changes/hour rate is the residential figure (0.3 for most non-residential rooms).",https://www.mlit.go.jp/jutakukentiku/build/jutakukentiku_house_tk_000043.html; https://www.toshiseibi.metro.tokyo.lg.jp/kenchiku_kaihatsu/kenchiku_gyosei/gyosei/kijun/kn_k09,jr_025,,
159,wisdom,159_wisdom_summer-heat-habits.md,"Japanese summers combine 35°C days with 70–80% humidity, and the country records tens of thousands of heatstroke ambulance calls a year.","Japanese summers combine 35°C days with high humidity, and the country now records over 100,000 heatstroke ambulance calls a year.","2025 transports passed 100,000 for the first time (100,510), so ""tens of thousands"" understates the current scale. Relative humidity on a 35°C afternoon is typically nearer 50–60% — 70–80% is characteristic of the rainy season, night and early morning, not peak-heat hours.",https://www.netsuzero.jp/news/news-zero/20251120-14915.html; https://weather-jwa.jp/news/topics/post9530,jr_025,,
159,wisdom,159_wisdom_summer-heat-habits.md,- Ministry of the Environment — Cool Biz and summer guidance   https://ondankataisaku.env.go.jp/coolchoice/coolbiz/,- Ministry of the Environment — Cool Biz / appropriate room temperature (Deco-katsu)   https://ondankataisaku.env.go.jp/decokatsu/coolbiz/,The COOL CHOICE campaign was folded into デコ活 (Deco-katsu) in 2023 and the Cool Biz pages now sit under /decokatsu/coolbiz/. The /coolchoice/ path is the superseded campaign. Worth noting too that the 28°C target is a Cool Biz energy-saving figure the ministry has acknowledged was set without a firm ,https://ondankataisaku.env.go.jp/decokatsu/coolbiz/article/action_detail_004.html; https://www.tokyo-np.co.jp/article/355547,jr_025,,
160,wisdom,160_wisdom_gift-giving-customs.md,"- Surveys by department stores and gift associations put ochūgen participation at **around 30–40% of households** and falling, while temiyage and okaeshi remain near-universal.","- Consumer surveys put regular ochūgen giving much lower than it once was — **under 20%** say they send one every year, and over 40% have never sent one — while oseibo sits nearer **40%** and rises steeply with age; temiyage and okaeshi remain near-universal.","Hakuhodo's Seikatsu Teiten 2024 records 17.7% for ""I send ochūgen every year without fail"" (60s 37.4%, 20s 2.9%); 2025 surveys report over 40% have never sent ochūgen, and around 40% send oseibo. A single 30–40% band for ochūgen is too high and hides the age split.",https://seikatsusoken.jp/teiten/answer/894.html; https://ampmedia.jp/2025/07/15/ochugen-nendai/; https://prtimes.jp/main/html/rd/p/000000240.000034765.html,jr_025,,
160,wisdom,160_wisdom_gift-giving-customs.md,- Agency for Cultural Affairs — Annual customs and lifestyle culture   https://www.bunka.go.jp/english/,"- Agency for Cultural Affairs — Annual customs and lifestyle culture (link to the specific 生活文化・年中行事 page, not the agency's English top page)   https://www.bunka.go.jp/","The cited URL is the agency's generic English landing page and carries none of the noshi, mizuhiki or seasonal-gift content the article attributes to it. Either cite a specific agency page or drop the citation.",https://www.bunka.go.jp/english/,jr_025,,
161,beauty,161_beauty_sheet-masks.md,- 日本化粧品工業会（JCIA）の**化粧品等の適正広告ガイドライン**は、「浸透」を使う場合に**「角層まで」の注釈**を求めています。,- 日本化粧品工業会（JCIA）の**化粧品等の適正広告ガイドライン（2020年版）**は、「浸透」を使う場合に**作用部位が角層（角質層）までであることを明記する**よう求めています。,現行版は2020年版（2020年6月15日公開、JCIA公式PDF）。ガイドラインの要件は「注釈」ではなく「作用部位が角質層の範囲内であることを明記」。版年を示すと検証しやすい。,https://www.jcia.org/user/common/download/business/advertising/JCIA20200615_ADguide.pdf; https://www.jcia.org/user/business/advertising/,jr_026,,
161,beauty,161_beauty_sheet-masks.md,- 消費者庁「化粧品の表示に関する公正競争規約」   https://www.caa.go.jp/policies/policy/representation/fair_labeling/,- 化粧品公正取引協議会「化粧品の表示に関する公正競争規約」（景品表示法第31条に基づき消費者庁長官・公正取引委員会が認定）   https://www.cftc.jp/kiyaku/kiyaku01.html,同規約を設定・運用しているのは化粧品公正取引協議会（cftc.jp）で、消費者庁・公正取引委員会は認定機関。規約本文は協議会サイトにある。団体名とURLが一致していない。,https://www.cftc.jp/kiyaku/kiyaku01.html; https://www.cftc.jp/kiyaku/,jr_026,,
162,beauty,162_beauty_exfoliation.md,日本では、化粧品としての角質ケア製品が言える範囲は「古い角質を取り除く」までで、それ以上の表現はできません。,日本では、化粧品としての角質ケア製品が言えるのは「洗浄により古い角質を取り除く」といった物理的な範囲までで、それ以上の表現はできません。,本文の56項目の記述と同じ論点。角質除去の表現が認められるのは「洗浄による物理的作用」としてであり、その限定を落とすと効能の範囲を広く読ませてしまう。,https://maclogi.co.jp/column/3064/?type=lecture; https://www.mhlw.go.jp/web/t_doc?dataId=00tb7518&dataType=1&pageNo=,jr_026,,
163,beauty,163_beauty_foundation-spf.md,- 気象庁「紫外線に関する基礎知識（曇天時の紫外線）」   https://www.data.jma.go.jp/gmd/env/uvhp/3-40uvb.html,- 気象庁「紫外線に関する基礎知識／紫外線のデータ集」   https://www.data.jma.go.jp/env/uvhp/info_uv.html,気象庁サイト改編により /gmd/ を含むパスは現行の案内経路から外れている。現行は data.jma.go.jp/env/uvhp/ 配下（解説本文は jma.go.jp/jma/kishou/know/env/uvhp/3-40uv.html）。,https://www.data.jma.go.jp/env/uvhp/info_uv.html; https://www.jma.go.jp/jma/kishou/know/env/uvhp/3-40uv.html,jr_026,,
163,beauty,163_beauty_foundation-spf.md,| SPFの測定条件 | **皮膚1cm²あたり2mg**を塗布（日本化粧品工業会のSPF測定法基準／ISO 24444） |,| SPFの測定条件 | **皮膚1cm²あたり2mg**を塗布（日本化粧品工業会のSPF測定法基準／**ISO 24444:2019**、追補1は2022年） |,現行の国際規格はISO 24444:2019で、2022年3月にAmd.1:2022が発行。JCIAのSPF測定法基準もこれを自主基準として採用している。版年を示すと精度が上がる。,https://www.iso.org/standard/72250.html; https://webdesk.jsa.or.jp/books/W11M0090/index/?bunsyo_id=ISO+24444:2019/Amd+1:2022; https://www.jcia.org/user/business/guideline/spf,jr_026,,
